T, rho, Z
0.7, 0.86, 0.373461997
0.75, 0.84, 0.404846336
0.75, 0.86, 0.931422823
0.8, 0.82, 0.386217299
0.8, 0.84, 0.83955301
0.8, 0.86, 1.349303129
0.85, 0.8, 0.373685228
0.85, 0.82, 0.766983088
0.85, 0.84, 1.20655322
0.85, 0.86, 1.709171725
0.9, 0.79, 0.537914543
0.9, 0.81, 0.89408011
0.9, 0.83, 1.303559041
0.9, 0.85, 1.762905534
0.9, 0.87, 2.280084763
0.95, 0.76, 0.38349348
0.95, 0.78, 0.67194935
0.95, 0.8, 1.00016908
0.95, 0.82, 1.379823469
0.95, 0.84, 1.803848145
1, 0.75, 0.514261913
1, 0.77, 0.783112822
1, 0.79, 1.088969453
1, 0.81, 1.43819065
1, 0.83, 1.831879514
1, 0.85, 2.275250597
1.05, 0.71, 0.319163028
1.05, 0.74, 0.626866259
1.05, 0.77, 1.013441683
1.05, 0.8, 1.486361435
1.05, 0.83, 2.046203504
1.05, 0.86, 2.721872626
1.1, 0.66, 0.147932897
1.1, 0.7, 0.432990974
1.1, 0.74, 0.830976219
1.1, 0.78, 1.365297126
1.1, 0.82, 2.045386172
1.1, 0.86, 2.901325906
1.15, 0.68, 0.45677999
1.15, 0.71, 0.705250397
1.15, 0.74, 1.017511174
1.15, 0.77, 1.401841276
1.15, 0.8, 1.865928725
1.15, 0.83, 2.416469045
1.15, 0.86, 3.064875734
1.2, 0.59, 0.157963217
1.2, 0.64, 0.364219715
1.2, 0.69, 0.695565103
1.2, 0.74, 1.184874838
1.2, 0.79, 1.86443984
1.2, 0.84, 2.772453249
1.2, 0.89, 3.940556389
1.25, 0.55, 0.184968572
1.25, 0.61, 0.361333854
1.25, 0.67, 0.693953867
1.25, 0.73, 1.224509646
1.25, 0.79, 2.012649375
1.25, 0.85, 3.113862636
1.25, 0.91, 4.596602361
1.3, 0.45, 0.197919426
1.3, 0.53, 0.257576009
1.3, 0.61, 0.485011837
1.3, 0.69, 0.978842888
1.3, 0.77, 1.852249139
1.3, 0.85, 3.232130006
1.3, 0.93, 5.265415617
1.5, 0.2, 0.607749385
1.5, 0.28, 0.517448184
1.5, 0.36, 0.469117058
1.5, 0.44, 0.478947816
1.5, 0.52, 0.584911946
1.5, 0.6, 0.843341474
1.5, 0.68, 1.334219025
1.5, 0.76, 2.150836818
1.5, 0.84, 3.409142931
1.5, 0.92, 5.220011583
2, 0.2, 0.822707131
2, 0.28, 0.808481266
2, 0.36, 0.839502577
2, 0.44, 0.935499156
2, 0.52, 1.127773447
2, 0.6, 1.458943612
2, 0.68, 1.985697513
2, 0.7, 2.15476746
2, 0.84, 3.91391648
2, 0.92, 5.486131511
2, 1, 7.587602452
3, 0.44, 1.366679999
3, 0.52, 1.62347194
3, 0.6, 1.995125957
3, 0.68, 2.520444238
3, 0.76, 3.245593312
3, 0.84, 4.219734703
3, 0.92, 5.503043416
3, 1, 7.159095397
3, 0.2, 1.024050344
3, 0.28, 1.087028324
3, 0.36, 1.195415607
4, 0.2, 1.116840181
4, 0.28, 1.215146019
4, 0.36, 1.357729303
4, 0.44, 1.557894176
4, 0.52, 1.834079034
4, 0.6, 2.210537378
4, 0.68, 2.714962735
4, 0.76, 3.381643728
4, 0.84, 4.247843541
4, 0.92, 5.36027602
4, 1, 6.762264438
4, 1.08, 8.517686377
5, 0.2, 1.168323768
5, 0.28, 1.28592006
5, 0.36, 1.444621502
5, 0.44, 1.657343632
