pf, N, m, T, sigma, cut, U, error, U_F-CS, U_F-kolafa, U_F-thol, U_F-mecke, U_F-gottschalk, U_F-hess, U_RDF_CS, U_RDF_LJ
2.500e-02, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, -4.394e-01, 1.172e-01, 1.568e-02, -3.966e-01, -3.867e-01, -3.842e-01, -3.841e-01, -3.848e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, -3.778e-01, 3.327e-02, 1.705e-02, -3.848e-01, -3.729e-01, -3.705e-01, -3.716e-01, -3.721e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, -3.513e-01, 3.434e-03, 1.843e-02, -3.752e-01, -3.616e-01, -3.592e-01, -3.610e-01, -3.614e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, -3.422e-01, 3.615e-03, 1.981e-02, -3.672e-01, -3.520e-01, -3.497e-01, -3.519e-01, -3.522e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.700e+00, 1.000e+00, 4.500e+00, -3.341e-01, 2.512e-03, 2.120e-02, -3.604e-01, -3.438e-01, -3.415e-01, -3.439e-01, -3.441e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.800e+00, 1.000e+00, 4.500e+00, -3.273e-01, 2.092e-03, 2.260e-02, -3.547e-01, -3.367e-01, -3.344e-01, -3.368e-01, -3.370e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.900e+00, 1.000e+00, 4.500e+00, -3.201e-01, 1.443e-03, 2.400e-02, -3.497e-01, -3.303e-01, -3.281e-01, -3.305e-01, -3.306e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, -3.140e-01, 1.069e-03, 2.540e-02, -3.454e-01, -3.247e-01, -3.225e-01, -3.248e-01, -3.249e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.100e+00, 1.000e+00, 4.500e+00, -3.085e-01, 1.382e-03, 2.681e-02, -3.416e-01, -3.196e-01, -3.174e-01, -3.196e-01, -3.196e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.200e+00, 1.000e+00, 4.500e+00, -3.036e-01, 6.037e-04, 2.822e-02, -3.382e-01, -3.149e-01, -3.128e-01, -3.148e-01, -3.148e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.300e+00, 1.000e+00, 4.500e+00, -3.007e-01, 5.910e-04, 2.963e-02, -3.351e-01, -3.107e-01, -3.085e-01, -3.104e-01, -3.104e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.400e+00, 1.000e+00, 4.500e+00, -2.960e-01, 1.839e-03, 3.105e-02, -3.324e-01, -3.067e-01, -3.046e-01, -3.063e-01, -3.063e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, -2.928e-01, 6.927e-04, 3.247e-02, -3.299e-01, -3.031e-01, -3.010e-01, -3.025e-01, -3.024e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.600e+00, 1.000e+00, 4.500e+00, -2.898e-01, 5.304e-04, 3.389e-02, -3.276e-01, -2.996e-01, -2.976e-01, -2.989e-01, -2.988e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.700e+00, 1.000e+00, 4.500e+00, -2.860e-01, 1.087e-03, 3.531e-02, -3.256e-01, -2.964e-01, -2.944e-01, -2.955e-01, -2.954e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.800e+00, 1.000e+00, 4.500e+00, -2.824e-01, 9.439e-04, 3.673e-02, -3.237e-01, -2.934e-01, -2.914e-01, -2.923e-01, -2.921e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.900e+00, 1.000e+00, 4.500e+00, -2.806e-01, 8.922e-04, 3.816e-02, -3.219e-01, -2.905e-01, -2.885e-01, -2.892e-01, -2.891e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, -2.774e-01, 4.866e-04, 3.959e-02, -3.203e-01, -2.877e-01, -2.857e-01, -2.863e-01, -2.861e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.100e+00, 1.000e+00, 4.500e+00, -2.747e-01, 3.123e-04, 4.101e-02, -3.187e-01, -2.851e-01, -2.831e-01, -2.835e-01, -2.833e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.200e+00, 1.000e+00, 4.500e+00, -2.728e-01, 6.404e-04, 4.244e-02, -3.173e-01, -2.825e-01, -2.806e-01, -2.808e-01, -2.806e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.300e+00, 1.000e+00, 4.500e+00, -2.695e-01, 5.234e-04, 4.387e-02, -3.160e-01, -2.801e-01, -2.782e-01, -2.782e-01, -2.780e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.400e+00, 1.000e+00, 4.500e+00, -2.674e-01, 9.514e-04, 4.530e-02, -3.147e-01, -2.777e-01, -2.759e-01, -2.757e-01, -2.755e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, -2.644e-01, 3.849e-04, 4.673e-02, -3.135e-01, -2.754e-01, -2.736e-01, -2.733e-01, -2.731e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.600e+00, 1.000e+00, 4.500e+00, -2.629e-01, 1.366e-03, 4.816e-02, -3.124e-01, -2.732e-01, -2.714e-01, -2.709e-01, -2.708e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.700e+00, 1.000e+00, 4.500e+00, -2.601e-01, 1.137e-03, 4.959e-02, -3.113e-01, -2.711e-01, -2.693e-01, -2.687e-01, -2.685e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.800e+00, 1.000e+00, 4.500e+00, -2.586e-01, 9.771e-04, 5.102e-02, -3.103e-01, -2.690e-01, -2.672e-01, -2.665e-01, -2.663e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.900e+00, 1.000e+00, 4.500e+00, -2.569e-01, 7.527e-04, 5.245e-02, -3.094e-01, -2.669e-01, -2.652e-01, -2.643e-01, -2.641e-01, nan, -0.000e+00
2.500e-02, 6.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, -2.556e-01, 1.349e-03, 5.389e-02, -3.084e-01, -2.649e-01, -2.632e-01, -2.622e-01, -2.620e-01, nan, -0.000e+00
5.000e-02, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, -1.140e+00, 2.707e-01, 3.346e-02, -7.882e-01, -7.658e-01, -7.566e-01, -7.663e-01, -7.682e-01, nan, -0.000e+00
5.000e-02, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, -9.527e-01, 2.561e-01, 3.637e-02, -7.646e-01, -7.362e-01, -7.293e-01, -7.415e-01, -7.427e-01, nan, -0.000e+00
5.000e-02, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, -7.656e-01, 1.252e-01, 3.928e-02, -7.457e-01, -7.132e-01, -7.071e-01, -7.203e-01, -7.211e-01, nan, -0.000e+00
