pf, N, m, T, sigma, cut, Z, error, EOS_CS, EOS_kolafa, EOS_gottschalk, EOS_thol, EOS_mecke, EOS_hess
2.500e-02, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 8.261e-01, 3.868e-02, 1.107e+00, 8.429e-01, 8.654e-01, 8.464e-01, 8.889e-01, 8.735e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 5.883e-01, 5.390e-02, 1.227e+00, 7.017e-01, 7.428e-01, 7.083e-01, 7.533e-01, 7.773e-01
7.500e-02, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 3.960e-01, 4.749e-02, 1.365e+00, 5.832e-01, 6.336e-01, 5.852e-01, 5.985e-01, 7.164e-01
1.000e-01, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 2.743e-01, 5.570e-02, 1.521e+00, 4.884e-01, 5.392e-01, 4.758e-01, 4.365e-01, 6.967e-01
2.500e-02, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 8.610e-01, 2.155e-02, 1.107e+00, 8.643e-01, 8.707e-01, 8.671e-01, 9.014e-01, 8.789e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 6.689e-01, 6.839e-02, 1.227e+00, 7.436e-01, 7.532e-01, 7.484e-01, 7.839e-01, 7.879e-01
7.500e-02, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 5.104e-01, 6.473e-02, 1.365e+00, 6.443e-01, 6.492e-01, 6.436e-01, 6.519e-01, 7.318e-01
1.000e-01, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 3.690e-01, 5.442e-02, 1.521e+00, 5.679e-01, 5.605e-01, 5.509e-01, 5.160e-01, 7.165e-01
2.500e-02, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 8.885e-01, 4.272e-03, 1.107e+00, 8.823e-01, 8.763e-01, 8.844e-01, 9.131e-01, 8.845e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 7.473e-01, 5.591e-02, 1.227e+00, 7.789e-01, 7.643e-01, 7.819e-01, 8.114e-01, 7.989e-01
7.500e-02, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 6.103e-01, 8.329e-02, 1.365e+00, 6.961e-01, 6.658e-01, 6.920e-01, 6.990e-01, 7.481e-01
1.000e-01, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 4.585e-01, 6.316e-02, 1.521e+00, 6.352e-01, 5.828e-01, 6.133e-01, 5.853e-01, 7.376e-01
2.500e-02, 6.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, 9.017e-01, 4.159e-03, 1.107e+00, 8.977e-01, 8.821e-01, 8.991e-01, 9.237e-01, 8.904e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, 7.933e-01, 5.009e-02, 1.227e+00, 8.092e-01, 7.759e-01, 8.103e-01, 8.360e-01, 8.105e-01
7.500e-02, 6.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, 6.415e-01, 7.651e-02, 1.365e+00, 7.404e-01, 6.831e-01, 7.332e-01, 7.406e-01, 7.651e-01
1.000e-01, 6.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, 5.654e-01, 8.158e-02, 1.521e+00, 6.931e-01, 6.061e-01, 6.667e-01, 6.461e-01, 7.597e-01
2.500e-02, 6.000e+03, 1.000e+00, 1.700e+00, 1.000e+00, 4.500e+00, 9.153e-01, 3.703e-03, 1.107e+00, 9.110e-01, 8.882e-01, 9.117e-01, 9.333e-01, 8.964e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.700e+00, 1.000e+00, 4.500e+00, 8.303e-01, 2.712e-02, 1.227e+00, 8.354e-01, 7.879e-01, 8.347e-01, 8.581e-01, 8.225e-01
7.500e-02, 6.000e+03, 1.000e+00, 1.700e+00, 1.000e+00, 4.500e+00, 7.345e-01, 6.882e-02, 1.365e+00, 7.789e-01, 7.010e-01, 7.687e-01, 7.776e-01, 7.827e-01
1.000e-01, 6.000e+03, 1.000e+00, 1.700e+00, 1.000e+00, 4.500e+00, 6.804e-01, 8.018e-02, 1.521e+00, 7.434e-01, 6.300e-01, 7.130e-01, 6.996e-01, 7.826e-01
2.500e-02, 6.000e+03, 1.000e+00, 1.800e+00, 1.000e+00, 4.500e+00, 9.262e-01, 1.629e-03, 1.107e+00, 9.227e-01, 8.944e-01, 9.227e-01, 9.421e-01, 9.027e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.800e+00, 1.000e+00, 4.500e+00, 8.499e-01, 2.729e-02, 1.227e+00, 8.584e-01, 8.002e-01, 8.560e-01, 8.780e-01, 8.348e-01
