pf, N, m, T, sigma, cut, Z, error, EOS_CS, EOS_kolafa, EOS_gottschalk, EOS_thol, EOS_mecke, EOS_hess
2.500e-02, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 8.261e-01, 3.868e-02, 1.107e+00, 8.429e-01, 8.654e-01, 9.724e-01, 8.757e-01, 8.685e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 5.883e-01, 5.390e-02, 1.227e+00, 7.017e-01, 7.426e-01, 9.458e-01, 7.657e-01, 7.571e-01
7.500e-02, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 3.960e-01, 4.749e-02, 1.365e+00, 5.832e-01, 6.302e-01, 9.202e-01, 6.723e-01, 6.708e-01
1.000e-01, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 2.743e-01, 5.570e-02, 1.521e+00, 4.884e-01, 5.003e-01, 8.957e-01, 5.981e-01, 6.156e-01
2.500e-02, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 8.610e-01, 2.155e-02, 1.107e+00, 8.643e-01, 8.707e-01, 9.768e-01, 8.922e-01, 8.736e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 6.689e-01, 6.839e-02, 1.227e+00, 7.436e-01, 7.531e-01, 9.544e-01, 7.987e-01, 7.669e-01
7.500e-02, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 5.104e-01, 6.473e-02, 1.365e+00, 6.443e-01, 6.458e-01, 9.331e-01, 7.218e-01, 6.846e-01
1.000e-01, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 3.690e-01, 5.442e-02, 1.521e+00, 5.679e-01, 5.219e-01, 9.127e-01, 6.641e-01, 6.327e-01
2.500e-02, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 8.885e-01, 4.272e-03, 1.107e+00, 8.823e-01, 8.763e-01, 9.804e-01, 9.065e-01, 8.791e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 7.473e-01, 5.591e-02, 1.227e+00, 7.789e-01, 7.642e-01, 9.618e-01, 8.273e-01, 7.774e-01
7.500e-02, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 6.103e-01, 8.329e-02, 1.365e+00, 6.961e-01, 6.629e-01, 9.440e-01, 7.647e-01, 6.997e-01
1.000e-01, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 4.585e-01, 6.316e-02, 1.521e+00, 6.352e-01, 5.499e-01, 9.271e-01, 7.212e-01, 6.516e-01
2.500e-02, 6.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, 9.017e-01, 4.159e-03, 1.107e+00, 8.977e-01, 8.821e-01, 9.836e-01, 9.190e-01, 8.849e-01
5.000e-02, 6.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, 7.933e-01, 5.009e-02, 1.227e+00, 8.092e-01, 7.758e-01, 9.680e-01, 8.523e-01, 7.886e-01
7.500e-02, 6.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, 6.415e-01, 7.651e-02, 1.365e+00, 7.404e-01, 6.808e-01, 9.533e-01, 8.022e-01, 7.158e-01
