pf, N, m, T, sigma, cut, Z, error, EOS_PY, EOS_CS, EOS_LJ
1.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, -3.940e-03, 6.159e-02, 1.519e+00, 1.521e+00, 1.279e-01
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, -1.637e-02, 1.912e-02, 2.375e+00, 2.406e+00, -4.011e-01
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, -3.851e-02, 6.946e-03, 3.816e+00, 3.974e+00, -7.833e-01
4.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 6.349e-01, 2.558e-01, 6.333e+00, 6.926e+00, -1.218e-01
5.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 5.646e+00, 9.911e-02, 1.100e+01, 1.300e+01, 3.261e+00
1.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 4.905e-01, 9.685e-02, 1.519e+00, 1.521e+00, 6.352e-01
2.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 3.959e-01, 1.132e-01, 2.375e+00, 2.406e+00, 5.683e-01
3.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 7.622e-01, 9.036e-02, 3.816e+00, 3.974e+00, 7.358e-01
4.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 2.268e+00, 7.034e-02, 6.333e+00, 6.926e+00, 1.630e+00
5.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 6.328e+00, 6.831e-03, 1.100e+01, 1.300e+01, 4.450e+00
1.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 8.325e-01, 2.603e-02, 1.519e+00, 1.521e+00, 8.618e-01
2.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 8.506e-01, 2.729e-02, 2.375e+00, 2.406e+00, 1.030e+00
3.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 1.357e+00, 5.257e-02, 3.816e+00, 3.974e+00, 1.538e+00
4.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 2.895e+00, 4.338e-02, 6.333e+00, 6.926e+00, 2.837e+00
5.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 6.437e+00, 1.407e-02, 1.100e+01, 1.300e+01, 6.114e+00
1.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 9.564e-01, 1.463e-02, 1.519e+00, 1.521e+00, 9.928e-01
2.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 1.107e+00, 2.466e-02, 2.375e+00, 2.406e+00, 1.302e+00
3.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 1.684e+00, 1.560e-02, 3.816e+00, 3.974e+00, 2.025e+00
4.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 3.173e+00, 1.941e-02, 6.333e+00, 6.926e+00, 3.627e+00
5.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 6.373e+00, 1.915e-02, 1.100e+01, 1.300e+01, 7.340e+00
1.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.025e+00, 4.248e-03, 1.519e+00, 1.521e+00, 1.079e+00
2.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.242e+00, 9.485e-03, 2.375e+00, 2.406e+00, 1.482e+00
3.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.889e+00, 1.727e-02, 3.816e+00, 3.974e+00, 2.351e+00
4.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 3.308e+00, 1.080e-02, 6.333e+00, 6.926e+00, 4.173e+00
5.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 6.274e+00, 1.657e-02, 1.100e+01, 1.300e+01, 8.227e+00
1.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.073e+00, 3.730e-03, 1.519e+00, 1.521e+00, 1.139e+00
2.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.361e+00, 2.826e-03, 2.375e+00, 2.406e+00, 1.610e+00
3.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 2.001e+00, 1.659e-02, 3.816e+00, 3.974e+00, 2.585e+00
4.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 3.416e+00, 1.261e-02, 6.333e+00, 6.926e+00, 4.569e+00
5.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 6.135e+00, 1.781e-02, 1.100e+01, 1.300e+01, 8.887e+00
1.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.113e+00, 3.418e-03, 1.519e+00, 1.521e+00, 1.185e+00
2.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.420e+00, 6.158e-03, 2.375e+00, 2.406e+00, 1.706e+00
3.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 2.089e+00, 7.165e-03, 3.816e+00, 3.974e+00, 2.760e+00
4.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 3.462e+00, 8.672e-05, 6.333e+00, 6.926e+00, 4.870e+00
5.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 6.033e+00, 1.026e-02, 1.100e+01, 1.300e+01, 9.393e+00
