pf, N, m, T, sigma, cut, g_sigma, error, RDF_CS, RDF_LJ
2.500e-02, 6.000e+03, 1.000e+00, 1.300e+00, 1.000e+00, 4.500e+00, 2.188e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.400e+00, 1.000e+00, 4.500e+00, 2.049e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 1.963e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.600e+00, 1.000e+00, 4.500e+00, 1.869e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.700e+00, 1.000e+00, 4.500e+00, 1.784e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.800e+00, 1.000e+00, 4.500e+00, 1.745e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 1.900e+00, 1.000e+00, 4.500e+00, 1.680e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 1.655e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.100e+00, 1.000e+00, 4.500e+00, 1.612e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.200e+00, 1.000e+00, 4.500e+00, 1.580e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.300e+00, 1.000e+00, 4.500e+00, 1.535e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.400e+00, 1.000e+00, 4.500e+00, 1.516e+00, 0.000e+00, 1.065e+00, 1.158e+00
2.500e-02, 6.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 1.495e+00, 0.000e+00, 1.065e+00, 1.158e+00
