pf,N,m,T,sigma,cut,U_F-CS,U_F-kolafa,U_F-thol,U_F-mecke,U_F-gottschalk,U_F-hess,U_RDF_CS,U_RDF_LJ
1.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,7.665e-02,-1.465e+00,-1.497e+00,-1.448e+00,-1.505e+00,-1.541e+00,-1.541e+00,-1.541e+00
3.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,4.360e-01,-4.023e+00,-3.895e+00,-4.066e+00,-4.186e+00,-4.619e+00,-4.619e+00,-4.619e+00
1.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,8.320e-02,-1.414e+00,-1.426e+00,-1.401e+00,-1.430e+00,-1.490e+00,-1.490e+00,-1.490e+00
3.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,4.699e-01,-3.918e+00,-3.849e+00,-3.971e+00,-3.351e+00,-4.467e+00,-4.467e+00,-4.467e+00
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,8.977e-02,-1.372e+00,-1.381e+00,-1.363e+00,-1.381e+00,-1.448e+00,-1.448e+00,-1.448e+00
3.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,5.038e-01,-3.827e+00,-3.806e+00,-3.893e+00,-3.471e+00,-4.338e+00,-4.338e+00,-4.338e+00
1.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,9.636e-02,-1.337e+00,-1.347e+00,-1.331e+00,-1.345e+00,-1.411e+00,-1.411e+00,-1.411e+00
3.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,5.374e-01,-3.748e+00,-3.764e+00,-3.827e+00,-3.675e+00,-4.228e+00,-4.228e+00,-4.228e+00
1.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.030e-01,-1.308e+00,-1.319e+00,-1.305e+00,-1.316e+00,-1.379e+00,-1.379e+00,-1.379e+00
3.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,5.710e-01,-3.677e+00,-3.724e+00,-3.769e+00,-3.804e+00,-4.131e+00,-4.131e+00,-4.131e+00
1.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.096e-01,-1.282e+00,-1.295e+00,-1.282e+00,-1.292e+00,-1.351e+00,-1.351e+00,-1.351e+00
3.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,6.044e-01,-3.613e+00,-3.685e+00,-3.716e+00,-3.858e+00,-4.045e+00,-4.045e+00,-4.045e+00
1.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.162e-01,-1.259e+00,-1.275e+00,-1.262e+00,-1.271e+00,-1.325e+00,-1.325e+00,-1.325e+00
3.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,6.376e-01,-3.553e+00,-3.647e+00,-3.667e+00,-3.859e+00,-3.969e+00,-3.969e+00,-3.969e+00
1.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,1.228e-01,-1.239e+00,-1.256e+00,-1.244e+00,-1.252e+00,-1.303e+00,-1.303e+00,-1.303e+00
3.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,6.707e-01,-3.498e+00,-3.610e+00,-3.622e+00,-3.831e+00,-3.899e+00,-3.899e+00,-3.899e+00
1.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,1.295e-01,-1.220e+00,-1.239e+00,-1.228e+00,-1.236e+00,-1.282e+00,-1.282e+00,-1.282e+00
3.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,7.037e-01,-3.447e+00,-3.573e+00,-3.579e+00,-3.787e+00,-3.836e+00,-3.836e+00,-3.836e+00
1.000e-01,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,1.361e-01,-1.203e+00,-1.224e+00,-1.213e+00,-1.220e+00,-1.263e+00,-1.263e+00,-1.263e+00
3.000e-01,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,7.365e-01,-3.398e+00,-3.537e+00,-3.537e+00,-3.734e+00,-3.779e+00,-3.779e+00,-3.779e+00
1.000e-01,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,1.428e-01,-1.187e+00,-1.210e+00,-1.200e+00,-1.206e+00,-1.245e+00,-1.245e+00,-1.245e+00
3.000e-01,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,7.692e-01,-3.351e+00,-3.501e+00,-3.498e+00,-3.680e+00,-3.725e+00,-3.725e+00,-3.725e+00
1.000e-01,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,1.495e-01,-1.172e+00,-1.197e+00,-1.187e+00,-1.193e+00,-1.229e+00,-1.229e+00,-1.229e+00
3.000e-01,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,8.018e-01,-3.306e+00,-3.465e+00,-3.459e+00,-3.625e+00,-3.676e+00,-3.676e+00,-3.676e+00
1.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.561e-01,-1.158e+00,-1.184e+00,-1.175e+00,-1.180e+00,-1.214e+00,-1.214e+00,-1.214e+00
