pf,N,m,T,sigma,cut,U_F-CS,U_F-kolafa,U_F-thol,U_F-mecke,U_F-gottschalk,U_F-hess,U_RDF_CS,U_RDF_LJ
2.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.238e-02,-3.051e-01,-3.098e-01,-3.080e-01,-3.073e-01,-3.082e-01,-3.082e-01,-3.082e-01
2.000e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.347e-02,-2.946e-01,-2.989e-01,-2.971e-01,-2.965e-01,-2.982e-01,-2.982e-01,-2.982e-01
2.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.456e-02,-2.858e-01,-2.899e-01,-2.881e-01,-2.877e-01,-2.896e-01,-2.896e-01,-2.896e-01
2.000e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.565e-02,-2.783e-01,-2.823e-01,-2.805e-01,-2.802e-01,-2.823e-01,-2.823e-01,-2.823e-01
2.000e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.675e-02,-2.717e-01,-2.757e-01,-2.739e-01,-2.737e-01,-2.759e-01,-2.759e-01,-2.759e-01
2.000e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.786e-02,-2.660e-01,-2.700e-01,-2.682e-01,-2.681e-01,-2.703e-01,-2.703e-01,-2.703e-01
2.000e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.897e-02,-2.608e-01,-2.649e-01,-2.631e-01,-2.632e-01,-2.652e-01,-2.652e-01,-2.652e-01
2.000e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,2.008e-02,-2.562e-01,-2.603e-01,-2.586e-01,-2.587e-01,-2.607e-01,-2.607e-01,-2.607e-01
2.000e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,2.119e-02,-2.520e-01,-2.562e-01,-2.545e-01,-2.547e-01,-2.566e-01,-2.566e-01,-2.566e-01
2.000e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,2.231e-02,-2.481e-01,-2.525e-01,-2.508e-01,-2.510e-01,-2.528e-01,-2.528e-01,-2.528e-01
2.000e-02,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,2.343e-02,-2.445e-01,-2.490e-01,-2.473e-01,-2.476e-01,-2.493e-01,-2.493e-01,-2.493e-01
2.000e-02,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,2.455e-02,-2.412e-01,-2.458e-01,-2.442e-01,-2.445e-01,-2.461e-01,-2.461e-01,-2.461e-01
2.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.567e-02,-2.380e-01,-2.429e-01,-2.412e-01,-2.416e-01,-2.430e-01,-2.430e-01,-2.430e-01
2.000e-02,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,2.680e-02,-2.351e-01,-2.401e-01,-2.385e-01,-2.388e-01,-2.402e-01,-2.402e-01,-2.402e-01
2.000e-02,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,2.792e-02,-2.322e-01,-2.375e-01,-2.359e-01,-2.362e-01,-2.375e-01,-2.375e-01,-2.375e-01
