pf,N,m,T,sigma,cut,U_F-CS,U_F-kolafa,U_F-thol,U_F-mecke,U_F-gottschalk,U_F-hess,U_RDF_CS,U_RDF_LJ
2.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.456e-02,-2.858e-01,-2.899e-01,-2.881e-01,-2.877e-01,-2.896e-01,-2.896e-01,-2.896e-01
2.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.567e-02,-2.380e-01,-2.429e-01,-2.412e-01,-2.416e-01,-2.430e-01,-2.430e-01,-2.430e-01
2.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.697e-02,-2.133e-01,-2.206e-01,-2.192e-01,-2.193e-01,-2.202e-01,-2.202e-01,-2.202e-01
4.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.063e-02,-5.677e-01,-5.740e-01,-5.696e-01,-5.706e-01,-5.793e-01,-5.793e-01,-5.793e-01
4.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,5.383e-02,-4.747e-01,-4.823e-01,-4.788e-01,-4.801e-01,-4.859e-01,-4.859e-01,-4.859e-01
4.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,7.735e-02,-4.266e-01,-4.392e-01,-4.363e-01,-4.370e-01,-4.401e-01,-4.401e-01,-4.401e-01
6.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,4.839e-02,-8.434e-01,-8.503e-01,-8.423e-01,-8.479e-01,-8.688e-01,-8.688e-01,-8.688e-01
6.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,8.476e-02,-7.077e-01,-7.183e-01,-7.132e-01,-7.158e-01,-7.287e-01,-7.287e-01,-7.287e-01
6.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.215e-01,-6.373e-01,-6.559e-01,-6.519e-01,-6.530e-01,-6.598e-01,-6.598e-01,-6.598e-01
8.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,6.802e-02,-1.112e+00,-1.119e+00,-1.106e+00,-1.118e+00,-1.158e+00,-1.158e+00,-1.158e+00
8.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.187e-01,-9.356e-01,-9.519e-01,-9.450e-01,-9.491e-01,-9.713e-01,-9.713e-01,-9.713e-01
8.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.698e-01,-8.436e-01,-8.714e-01,-8.663e-01,-8.676e-01,-8.793e-01,-8.793e-01,-8.793e-01
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,8.977e-02,-1.372e+00,-1.381e+00,-1.363e+00,-1.381e+00,-1.448e+00,-1.448e+00,-1.448e+00
1.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.561e-01,-1.158e+00,-1.184e+00,-1.175e+00,-1.180e+00,-1.214e+00,-1.214e+00,-1.214e+00
1.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.227e-01,-1.045e+00,-1.086e+00,-1.080e+00,-1.081e+00,-1.099e+00,-1.099e+00,-1.099e+00
1.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.139e-01,-1.626e+00,-1.636e+00,-1.614e+00,-1.635e+00,-1.737e+00,-1.737e+00,-1.737e+00
1.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.973e-01,-1.376e+00,-1.416e+00,-1.404e+00,-1.410e+00,-1.456e+00,-1.456e+00,-1.456e+00
1.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.807e-01,-1.241e+00,-1.300e+00,-1.292e+00,-1.293e+00,-1.318e+00,-1.318e+00,-1.318e+00
1.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.406e-01,-1.875e+00,-1.885e+00,-1.864e+00,-1.880e+00,-2.026e+00,-2.026e+00,-2.026e+00
1.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.426e-01,-1.589e+00,-1.646e+00,-1.632e+00,-1.639e+00,-1.698e+00,-1.698e+00,-1.698e+00
1.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.443e-01,-1.432e+00,-1.512e+00,-1.504e+00,-1.504e+00,-1.536e+00,-1.536e+00,-1.536e+00
1.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.704e-01,-2.119e+00,-2.129e+00,-2.113e+00,-2.114e+00,-2.316e+00,-2.316e+00,-2.316e+00
1.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.927e-01,-1.798e+00,-1.876e+00,-1.860e+00,-1.868e+00,-1.940e+00,-1.940e+00,-1.940e+00
1.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.141e-01,-1.619e+00,-1.723e+00,-1.713e+00,-1.714e+00,-1.755e+00,-1.755e+00,-1.755e+00
1.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.035e-01,-2.361e+00,-2.368e+00,-2.363e+00,-2.337e+00,-2.605e+00,-2.605e+00,-2.605e+00
1.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.481e-01,-2.005e+00,-2.103e+00,-2.087e+00,-2.098e+00,-2.182e+00,-2.182e+00,-2.182e+00
1.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.909e-01,-1.803e+00,-1.932e+00,-1.920e+00,-1.923e+00,-1.973e+00,-1.973e+00,-1.973e+00
2.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.405e-01,-2.602e+00,-2.605e+00,-2.614e+00,-2.550e+00,-2.894e+00,-2.894e+00,-2.894e+00
