pf,N,m,T,sigma,cut,EOS_CS,EOS_kolafa,EOS_gottschalk,EOS_thol,EOS_mecke,EOS_hess
2.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.107e+00,8.429e-01,8.478e-01,8.464e-01,8.661e-01,8.430e-01
5.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.227e+00,7.016e-01,7.093e-01,7.083e-01,7.318e-01,6.890e-01
7.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.365e+00,5.830e-01,5.862e-01,5.852e-01,5.960e-01,5.380e-01
1.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.521e+00,4.880e-01,4.801e-01,4.758e-01,4.611e-01,3.901e-01
1.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.904e+00,3.569e-01,3.227e-01,3.097e-01,2.262e-01,1.035e-01
2.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.406e+00,2.746e-01,2.370e-01,2.286e-01,8.651e-02,-1.702e-01
2.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.074e+00,2.247e-01,2.071e-01,2.039e-01,3.681e-03,-4.307e-01
3.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.974e+00,2.427e-01,1.953e-01,3.468e-01,2.435e-02,-6.775e-01
3.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,5.206e+00,4.330e-01,1.365e-01,7.952e-01,2.755e-01,-9.101e-01
4.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,6.926e+00,9.601e-01,-6.743e-02,1.743e+00,9.538e-01,-1.128e+00
4.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,9.385e+00,2.010e+00,-5.538e-01,3.393e+00,2.311e+00,-1.331e+00
5.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.300e+01,3.733e+00,-1.505e+00,5.992e+00,4.656e+00,-1.518e+00
2.500e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.107e+00,8.643e-01,8.684e-01,8.671e-01,8.821e-01,8.639e-01
5.000e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.227e+00,7.435e-01,7.497e-01,7.484e-01,7.647e-01,7.307e-01
7.500e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.365e+00,6.442e-01,6.453e-01,6.436e-01,6.468e-01,6.005e-01
1.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.521e+00,5.675e-01,5.565e-01,5.509e-01,5.313e-01,4.733e-01
1.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.904e+00,4.726e-01,4.270e-01,4.153e-01,3.375e-01,2.283e-01
2.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,2.406e+00,4.310e-01,3.578e-01,3.498e-01,2.364e-01,-3.871e-03
2.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,3.074e+00,4.293e-01,3.305e-01,3.666e-01,1.986e-01,-2.229e-01
3.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,3.974e+00,4.999e-01,3.068e-01,5.511e-01,2.725e-01,-4.282e-01
3.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,5.206e+00,7.385e-01,2.237e-01,1.030e+00,5.764e-01,-6.194e-01
4.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,6.926e+00,1.298e+00,-1.197e-02,1.981e+00,1.293e+00,-7.960e-01
4.500e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,9.385e+00,2.358e+00,-5.277e-01,3.590e+00,2.658e+00,-9.575e-01
5.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.300e+01,4.084e+00,-1.491e+00,6.088e+00,4.959e+00,-1.103e+00
2.500e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.107e+00,8.823e-01,8.856e-01,8.844e-01,8.961e-01,8.814e-01
5.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.227e+00,7.789e-01,7.833e-01,7.819e-01,7.932e-01,7.657e-01
7.500e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.365e+00,6.959e-01,6.942e-01,6.920e-01,6.909e-01,6.529e-01
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.521e+00,6.348e-01,6.191e-01,6.133e-01,5.920e-01,5.433e-01
1.500e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.904e+00,5.712e-01,5.112e-01,5.021e-01,4.327e-01,3.332e-01
2.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.406e+00,5.652e-01,4.537e-01,4.619e-01,3.645e-01,1.358e-01
2.500e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.074e+00,6.062e-01,4.269e-01,5.091e-01,3.649e-01,-4.834e-02
3.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.974e+00,7.253e-01,3.933e-01,7.268e-01,4.829e-01,-2.189e-01
3.500e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,5.206e+00,1.012e+00,2.929e-01,1.230e+00,8.298e-01,-3.754e-01
4.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,6.926e+00,1.610e+00,3.938e-02,2.180e+00,1.576e+00,-5.174e-01
4.500e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,9.385e+00,2.697e+00,-4.840e-01,3.750e+00,2.944e+00,-6.443e-01
5.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.300e+01,4.450e+00,-1.429e+00,6.158e+00,5.205e+00,-7.557e-01
2.500e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.107e+00,8.977e-01,9.002e-01,8.991e-01,9.083e-01,8.963e-01
5.000e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.227e+00,8.092e-01,8.118e-01,8.103e-01,8.182e-01,7.954e-01
7.500e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.365e+00,7.403e-01,7.356e-01,7.332e-01,7.293e-01,6.976e-01
1.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.521e+00,6.927e-01,6.723e-01,6.667e-01,6.448e-01,6.028e-01
1.500e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.904e+00,6.563e-01,5.846e-01,5.781e-01,5.153e-01,4.224e-01
2.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,2.406e+00,6.816e-01,5.435e-01,5.605e-01,4.752e-01,2.548e-01
2.500e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,3.074e+00,7.607e-01,5.334e-01,6.342e-01,5.084e-01,1.002e-01
3.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,3.974e+00,9.241e-01,5.247e-01,8.791e-01,6.636e-01,-4.080e-02
3.500e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,5.206e+00,1.256e+00,4.707e-01,1.400e+00,1.046e+00,-1.678e-01
4.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,6.926e+00,1.896e+00,3.049e-01,2.347e+00,1.815e+00,-2.803e-01
4.500e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,9.385e+00,3.019e+00,-6.260e-02,3.881e+00,3.183e+00,-3.779e-01
5.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.300e+01,4.813e+00,-7.475e-01,6.208e+00,5.407e+00,-4.599e-01
2.500e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.107e+00,9.110e-01,9.127e-01,9.117e-01,9.191e-01,9.091e-01
5.000e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.227e+00,8.354e-01,8.363e-01,8.347e-01,8.402e-01,8.211e-01
7.500e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.365e+00,7.788e-01,7.713e-01,7.687e-01,7.632e-01,7.361e-01
1.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.521e+00,7.430e-01,7.185e-01,7.130e-01,6.913e-01,6.540e-01
1.500e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.904e+00,7.307e-01,6.498e-01,6.449e-01,5.876e-01,4.993e-01
2.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,2.406e+00,7.837e-01,6.281e-01,6.476e-01,5.721e-01,3.571e-01
