pf,N,m,T,sigma,cut,EOS_CS,EOS_kolafa,EOS_gottschalk,EOS_thol,EOS_mecke,EOS_hess
1.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.521e+00,4.880e-01,4.801e-01,4.758e-01,4.611e-01,3.901e-01
3.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.974e+00,2.427e-01,1.953e-01,3.468e-01,2.435e-02,-6.775e-01
1.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.521e+00,5.675e-01,5.565e-01,5.509e-01,5.313e-01,4.733e-01
3.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,3.974e+00,4.999e-01,3.068e-01,5.511e-01,2.725e-01,-4.282e-01
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.521e+00,6.348e-01,6.191e-01,6.133e-01,5.920e-01,5.433e-01
3.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.974e+00,7.253e-01,3.933e-01,7.268e-01,4.829e-01,-2.189e-01
1.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.521e+00,6.927e-01,6.723e-01,6.667e-01,6.448e-01,6.028e-01
3.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,3.974e+00,9.241e-01,5.247e-01,8.791e-01,6.636e-01,-4.080e-02
1.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.521e+00,7.430e-01,7.185e-01,7.130e-01,6.913e-01,6.540e-01
3.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,3.974e+00,1.100e+00,6.788e-01,1.012e+00,8.204e-01,1.125e-01
1.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.521e+00,7.873e-01,7.590e-01,7.537e-01,7.324e-01,6.986e-01
3.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,3.974e+00,1.258e+00,8.339e-01,1.128e+00,9.575e-01,2.457e-01
1.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.521e+00,8.265e-01,7.948e-01,7.897e-01,7.691e-01,7.377e-01
3.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,3.974e+00,1.399e+00,9.789e-01,1.230e+00,1.078e+00,3.626e-01
1.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,1.521e+00,8.615e-01,8.266e-01,8.218e-01,8.019e-01,7.723e-01
3.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,3.974e+00,1.527e+00,1.109e+00,1.321e+00,1.186e+00,4.657e-01
1.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,1.521e+00,8.929e-01,8.552e-01,8.505e-01,8.315e-01,8.030e-01
3.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,3.974e+00,1.643e+00,1.225e+00,1.402e+00,1.281e+00,5.575e-01
1.000e-01,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,1.521e+00,9.214e-01,8.809e-01,8.764e-01,8.583e-01,8.305e-01
3.000e-01,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,3.974e+00,1.748e+00,1.326e+00,1.474e+00,1.367e+00,6.396e-01
1.000e-01,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,1.521e+00,9.472e-01,9.041e-01,8.998e-01,8.826e-01,8.553e-01
3.000e-01,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,3.974e+00,1.845e+00,1.416e+00,1.539e+00,1.444e+00,7.134e-01
1.000e-01,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,1.521e+00,9.708e-01,9.253e-01,9.211e-01,9.048e-01,8.777e-01
3.000e-01,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,3.974e+00,1.933e+00,1.494e+00,1.597e+00,1.514e+00,7.801e-01
1.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.521e+00,9.924e-01,9.446e-01,9.405e-01,9.251e-01,8.980e-01
3.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.974e+00,2.014e+00,1.563e+00,1.649e+00,1.577e+00,8.407e-01
1.000e-01,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,1.521e+00,1.012e+00,9.622e-01,9.583e-01,9.438e-01,9.165e-01
3.000e-01,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,3.974e+00,2.090e+00,1.624e+00,1.697e+00,1.635e+00,8.959e-01
1.000e-01,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,1.521e+00,1.031e+00,9.784e-01,9.746e-01,9.609e-01,9.335e-01
3.000e-01,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,3.974e+00,2.159e+00,1.679e+00,1.740e+00,1.687e+00,9.463e-01
1.000e-01,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,1.521e+00,1.048e+00,9.933e-01,9.896e-01,9.768e-01,9.491e-01
3.000e-01,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,3.974e+00,2.224e+00,1.728e+00,1.780e+00,1.735e+00,9.927e-01
1.000e-01,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,1.521e+00,1.064e+00,1.007e+00,1.004e+00,9.915e-01,9.634e-01
3.000e-01,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,3.974e+00,2.284e+00,1.771e+00,1.816e+00,1.779e+00,1.035e+00
1.000e-01,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,1.521e+00,1.078e+00,1.020e+00,1.016e+00,1.005e+00,9.767e-01
3.000e-01,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,3.974e+00,2.341e+00,1.811e+00,1.849e+00,1.820e+00,1.075e+00
1.000e-01,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,1.521e+00,1.092e+00,1.032e+00,1.028e+00,1.018e+00,9.889e-01
3.000e-01,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,3.974e+00,2.394e+00,1.847e+00,1.879e+00,1.857e+00,1.111e+00
1.000e-01,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,1.521e+00,1.105e+00,1.043e+00,1.039e+00,1.030e+00,1.000e+00
