pf,N,m,T,sigma,cut,EOS_CS,EOS_kolafa,EOS_gottschalk,EOS_thol,EOS_mecke,EOS_hess
1.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.041e+00,9.755e-01,9.722e-01,9.535e-01,1.001e+00,9.731e-01
1.000e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.041e+00,9.886e-01,9.777e-01,9.627e-01,1.009e+00,9.785e-01
1.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.041e+00,9.984e-01,9.818e-01,9.697e-01,1.015e+00,9.826e-01
1.000e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.041e+00,1.006e+00,9.850e-01,9.750e-01,1.020e+00,9.857e-01
1.000e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.041e+00,1.012e+00,9.875e-01,9.792e-01,1.023e+00,9.881e-01
1.000e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.041e+00,1.016e+00,9.895e-01,9.824e-01,1.026e+00,9.901e-01
1.000e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.041e+00,1.020e+00,9.910e-01,9.851e-01,1.028e+00,9.916e-01
1.000e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,1.041e+00,1.023e+00,9.923e-01,9.872e-01,1.030e+00,9.928e-01
1.000e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,1.041e+00,1.026e+00,9.934e-01,9.889e-01,1.032e+00,9.938e-01
1.000e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,1.041e+00,1.028e+00,9.942e-01,9.904e-01,1.033e+00,9.947e-01
1.000e-02,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,1.041e+00,1.029e+00,9.949e-01,9.916e-01,1.034e+00,9.954e-01
1.000e-02,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,1.041e+00,1.031e+00,9.956e-01,9.926e-01,1.035e+00,9.960e-01
1.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.041e+00,1.032e+00,9.961e-01,9.934e-01,1.036e+00,9.965e-01
1.000e-02,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,1.041e+00,1.033e+00,9.965e-01,9.942e-01,1.036e+00,9.969e-01
1.000e-02,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,1.041e+00,1.034e+00,9.969e-01,9.948e-01,1.037e+00,9.973e-01
1.000e-02,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,1.041e+00,1.034e+00,9.972e-01,9.953e-01,1.037e+00,9.976e-01
1.000e-02,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,1.041e+00,1.035e+00,9.975e-01,9.958e-01,1.037e+00,9.978e-01
1.000e-02,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,1.041e+00,1.036e+00,9.977e-01,9.962e-01,1.038e+00,9.981e-01
1.000e-02,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,1.041e+00,1.036e+00,9.979e-01,9.966e-01,1.038e+00,9.983e-01
1.000e-02,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,1.041e+00,1.037e+00,9.981e-01,9.969e-01,1.038e+00,9.985e-01
1.000e-02,3.000e+03,1.000e+00,3.300e+00,1.000e+00,4.500e+00,1.041e+00,1.037e+00,9.983e-01,9.971e-01,1.039e+00,9.986e-01
1.000e-02,3.000e+03,1.000e+00,3.400e+00,1.000e+00,4.500e+00,1.041e+00,1.037e+00,9.984e-01,9.974e-01,1.039e+00,9.988e-01
1.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.041e+00,1.038e+00,9.986e-01,9.976e-01,1.039e+00,9.989e-01
1.000e-02,3.000e+03,1.000e+00,3.600e+00,1.000e+00,4.500e+00,1.041e+00,1.038e+00,9.987e-01,9.978e-01,1.039e+00,9.990e-01
1.000e-02,3.000e+03,1.000e+00,3.700e+00,1.000e+00,4.500e+00,1.041e+00,1.038e+00,9.988e-01,9.980e-01,1.039e+00,9.991e-01
1.000e-02,3.000e+03,1.000e+00,3.800e+00,1.000e+00,4.500e+00,1.041e+00,1.038e+00,9.989e-01,9.981e-01,1.039e+00,9.992e-01
1.000e-02,3.000e+03,1.000e+00,3.900e+00,1.000e+00,4.500e+00,1.041e+00,1.039e+00,9.990e-01,9.983e-01,1.040e+00,9.993e-01
1.000e-02,3.000e+03,1.000e+00,4.000e+00,1.000e+00,4.500e+00,1.041e+00,1.039e+00,9.990e-01,9.984e-01,1.040e+00,9.994e-01
3.632e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.159e+00,9.204e-01,9.009e-01,8.324e-01,1.000e+00,9.142e-01
3.632e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.159e+00,9.682e-01,9.202e-01,8.655e-01,1.035e+00,9.322e-01
3.632e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.159e+00,1.004e+00,9.349e-01,8.905e-01,1.060e+00,9.456e-01
3.632e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.159e+00,1.032e+00,9.462e-01,9.097e-01,1.078e+00,9.560e-01
3.632e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.159e+00,1.053e+00,9.550e-01,9.246e-01,1.093e+00,9.640e-01
3.632e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.159e+00,1.070e+00,9.620e-01,9.364e-01,1.104e+00,9.703e-01
3.632e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.159e+00,1.083e+00,9.677e-01,9.459e-01,1.112e+00,9.754e-01
3.632e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,1.159e+00,1.094e+00,9.722e-01,9.536e-01,1.119e+00,9.795e-01
3.632e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,1.159e+00,1.103e+00,9.760e-01,9.599e-01,1.125e+00,9.829e-01
3.632e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,1.159e+00,1.110e+00,9.791e-01,9.651e-01,1.129e+00,9.857e-01
3.632e-02,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,1.159e+00,1.116e+00,9.817e-01,9.695e-01,1.133e+00,9.880e-01
3.632e-02,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,1.159e+00,1.122e+00,9.839e-01,9.731e-01,1.136e+00,9.899e-01
3.632e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.159e+00,1.126e+00,9.857e-01,9.762e-01,1.139e+00,9.916e-01
3.632e-02,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,1.159e+00,1.130e+00,9.873e-01,9.789e-01,1.141e+00,9.930e-01
3.632e-02,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,1.159e+00,1.133e+00,9.887e-01,9.811e-01,1.143e+00,9.942e-01
3.632e-02,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,1.159e+00,1.136e+00,9.898e-01,9.831e-01,1.145e+00,9.952e-01
3.632e-02,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,1.159e+00,1.138e+00,9.909e-01,9.848e-01,1.146e+00,9.961e-01
3.632e-02,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,1.159e+00,1.140e+00,9.917e-01,9.862e-01,1.148e+00,9.969e-01
3.632e-02,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,1.159e+00,1.142e+00,9.925e-01,9.875e-01,1.149e+00,9.976e-01
3.632e-02,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,1.159e+00,1.143e+00,9.932e-01,9.887e-01,1.150e+00,9.982e-01
3.632e-02,3.000e+03,1.000e+00,3.300e+00,1.000e+00,4.500e+00,1.159e+00,1.145e+00,9.938e-01,9.897e-01,1.151e+00,9.988e-01
3.632e-02,3.000e+03,1.000e+00,3.400e+00,1.000e+00,4.500e+00,1.159e+00,1.146e+00,9.943e-01,9.905e-01,1.151e+00,9.992e-01
3.632e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.159e+00,1.147e+00,9.948e-01,9.913e-01,1.152e+00,9.996e-01
3.632e-02,3.000e+03,1.000e+00,3.600e+00,1.000e+00,4.500e+00,1.159e+00,1.148e+00,9.952e-01,9.920e-01,1.153e+00,1.000e+00
3.632e-02,3.000e+03,1.000e+00,3.700e+00,1.000e+00,4.500e+00,1.159e+00,1.149e+00,9.956e-01,9.927e-01,1.153e+00,1.000e+00
3.632e-02,3.000e+03,1.000e+00,3.800e+00,1.000e+00,4.500e+00,1.159e+00,1.150e+00,9.959e-01,9.932e-01,1.154e+00,1.001e+00
3.632e-02,3.000e+03,1.000e+00,3.900e+00,1.000e+00,4.500e+00,1.159e+00,1.151e+00,9.962e-01,9.937e-01,1.154e+00,1.001e+00
