pf,N,m,T,sigma,cut,EOS_CS,EOS_kolafa,EOS_gottschalk,EOS_thol,EOS_mecke,EOS_hess
2.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.084e+00,9.050e-01,9.075e-01,9.065e-01,9.167e-01,9.049e-01
2.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.084e+00,9.800e-01,9.775e-01,9.769e-01,9.784e-01,9.759e-01
2.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.084e+00,1.010e+00,1.004e+00,1.003e+00,1.004e+00,1.002e+00
4.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.177e+00,8.180e-01,8.227e-01,8.212e-01,8.343e-01,8.116e-01
4.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.177e+00,9.669e-01,9.602e-01,9.590e-01,9.596e-01,9.536e-01
4.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.177e+00,1.026e+00,1.012e+00,1.011e+00,1.011e+00,1.007e+00
6.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.280e+00,7.431e-01,7.460e-01,7.445e-01,7.521e-01,7.202e-01
6.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.280e+00,9.635e-01,9.486e-01,9.468e-01,9.437e-01,9.332e-01
6.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.280e+00,1.052e+00,1.026e+00,1.024e+00,1.022e+00,1.013e+00
8.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.395e+00,6.819e-01,6.780e-01,6.753e-01,6.706e-01,6.308e-01
8.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.395e+00,9.716e-01,9.432e-01,9.404e-01,9.317e-01,9.146e-01
8.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.395e+00,1.089e+00,1.045e+00,1.043e+00,1.038e+00,1.020e+00
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.521e+00,6.348e-01,6.191e-01,6.133e-01,5.920e-01,5.433e-01
1.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.521e+00,9.924e-01,9.446e-01,9.405e-01,9.251e-01,8.980e-01
1.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.521e+00,1.139e+00,1.072e+00,1.068e+00,1.061e+00,1.030e+00
1.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.662e+00,6.009e-01,5.692e-01,5.602e-01,5.196e-01,4.577e-01
1.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.662e+00,1.026e+00,9.534e-01,9.486e-01,9.263e-01,8.832e-01
1.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.662e+00,1.202e+00,1.105e+00,1.102e+00,1.091e+00,1.042e+00
1.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.819e+00,5.785e-01,5.283e-01,5.185e-01,4.581e-01,3.742e-01
1.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.819e+00,1.074e+00,9.705e-01,9.663e-01,9.379e-01,8.704e-01
1.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.819e+00,1.279e+00,1.147e+00,1.144e+00,1.131e+00,1.055e+00
1.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.993e+00,5.661e-01,4.960e-01,4.887e-01,4.115e-01,2.927e-01
1.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.993e+00,1.135e+00,9.969e-01,9.944e-01,9.623e-01,8.596e-01
1.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.993e+00,1.372e+00,1.198e+00,1.196e+00,1.183e+00,1.070e+00
1.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.188e+00,5.620e-01,4.715e-01,4.699e-01,3.813e-01,2.132e-01
1.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.188e+00,1.210e+00,1.034e+00,1.034e+00,1.001e+00,8.507e-01
1.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.188e+00,1.481e+00,1.261e+00,1.259e+00,1.248e+00,1.088e+00
2.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.406e+00,5.652e-01,4.537e-01,4.619e-01,3.645e-01,1.358e-01
2.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.406e+00,1.298e+00,1.082e+00,1.086e+00,1.054e+00,8.439e-01
2.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.406e+00,1.607e+00,1.335e+00,1.334e+00,1.328e+00,1.107e+00
2.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.650e+00,5.754e-01,4.409e-01,4.667e-01,3.567e-01,6.057e-02
2.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.650e+00,1.403e+00,1.144e+00,1.154e+00,1.120e+00,8.391e-01
2.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.650e+00,1.752e+00,1.424e+00,1.423e+00,1.421e+00,1.128e+00
2.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.924e+00,5.935e-01,4.313e-01,4.892e-01,3.586e-01,-1.257e-02
2.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.924e+00,1.523e+00,1.221e+00,1.240e+00,1.202e+00,8.363e-01
2.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.924e+00,1.918e+00,1.528e+00,1.530e+00,1.530e+00,1.151e+00
2.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.233e+00,6.218e-01,4.223e-01,5.357e-01,3.760e-01,-8.355e-02
2.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.233e+00,1.663e+00,1.315e+00,1.349e+00,1.303e+00,8.357e-01
2.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.233e+00,2.108e+00,1.651e+00,1.656e+00,1.658e+00,1.177e+00
2.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.581e+00,6.640e-01,4.108e-01,6.128e-01,4.154e-01,-1.523e-01
2.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.581e+00,1.825e+00,1.428e+00,1.484e+00,1.427e+00,8.371e-01
2.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.581e+00,2.325e+00,1.794e+00,1.804e+00,1.807e+00,1.204e+00
3.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.974e+00,7.253e-01,3.933e-01,7.268e-01,4.829e-01,-2.189e-01
3.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.974e+00,2.014e+00,1.563e+00,1.649e+00,1.577e+00,8.407e-01
3.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.974e+00,2.574e+00,1.960e+00,1.978e+00,1.981e+00,1.233e+00
3.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,4.419e+00,8.127e-01,3.653e-01,8.857e-01,5.860e-01,-2.832e-01
3.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,4.419e+00,2.236e+00,1.723e+00,1.849e+00,1.760e+00,8.464e-01
3.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.419e+00,2.861e+00,2.153e+00,2.181e+00,2.183e+00,1.265e+00
3.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,4.926e+00,9.347e-01,3.220e-01,1.099e+00,7.347e-01,-3.453e-01
3.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,4.926e+00,2.497e+00,1.910e+00,2.088e+00,1.981e+00,8.543e-01
3.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.926e+00,3.193e+00,2.375e+00,2.416e+00,2.419e+00,1.298e+00
3.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,5.504e+00,1.101e+00,2.577e-01,1.378e+00,9.406e-01,-4.050e-01
3.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,5.504e+00,2.806e+00,2.129e+00,2.374e+00,2.249e+00,8.645e-01
3.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,5.504e+00,3.578e+00,2.630e+00,2.688e+00,2.695e+00,1.334e+00
3.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,6.166e+00,1.322e+00,1.659e-01,1.735e+00,1.216e+00,-4.624e-01
3.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,6.166e+00,3.172e+00,2.383e+00,2.713e+00,2.570e+00,8.769e-01
3.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,6.166e+00,4.027e+00,2.922e+00,3.001e+00,3.015e+00,1.372e+00
4.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,6.926e+00,1.610e+00,3.938e-02,2.180e+00,1.576e+00,-5.174e-01
4.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,6.926e+00,3.607e+00,2.676e+00,3.110e+00,2.955e+00,8.915e-01
4.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,6.926e+00,4.550e+00,3.255e+00,3.360e+00,3.389e+00,1.412e+00
4.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,7.802e+00,1.976e+00,-1.299e-01,2.723e+00,2.034e+00,-5.700e-01
4.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,7.802e+00,4.124e+00,3.013e+00,3.571e+00,3.413e+00,9.085e-01
4.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,7.802e+00,5.162e+00,3.633e+00,3.769e+00,3.822e+00,1.454e+00
4.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,8.817e+00,2.432e+00,-3.510e-01,3.377e+00,2.608e+00,-6.201e-01
4.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,8.817e+00,4.737e+00,3.399e+00,4.106e+00,3.956e+00,9.278e-01
4.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,8.817e+00,5.880e+00,4.063e+00,4.233e+00,4.325e+00,1.499e+00
4.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,9.998e+00,2.989e+00,-6.338e-01,4.156e+00,3.315e+00,-6.678e-01
4.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,9.998e+00,5.464e+00,3.839e+00,4.722e+00,4.594e+00,9.494e-01
4.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,9.998e+00,6.723e+00,4.549e+00,4.760e+00,4.905e+00,1.545e+00
4.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.138e+01,3.658e+00,-9.891e-01,5.077e+00,4.174e+00,-7.130e-01
4.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.138e+01,6.323e+00,4.340e+00,5.431e+00,5.342e+00,9.734e-01
4.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.138e+01,7.716e+00,5.096e+00,5.355e+00,5.573e+00,1.594e+00
5.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.300e+01,4.450e+00,-1.429e+00,6.158e+00,5.205e+00,-7.557e-01
5.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.300e+01,7.340e+00,4.906e+00,6.241e+00,6.212e+00,9.999e-01
5.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.300e+01,8.887e+00,5.712e+00,6.027e+00,6.339e+00,1.646e+00
