pf,N,m,T,sigma,cut,F-CS,F-kolafa,F-thol,F-mecke,F-gottschalk,F-hess,RDF_CS,RDF_LJ
1.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.150e+00,1.531e+00,1.568e+00,1.504e+00,1.594e+00,1.438e+00,1.303e+00,7.860e-01
3.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.180e+00,1.929e+00,1.953e+00,2.043e+00,2.013e+00,1.563e+00,2.478e+00,1.159e+00
1.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.135e+00,1.423e+00,1.423e+00,1.400e+00,1.445e+00,1.345e+00,1.303e+00,8.181e-01
3.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,2.136e+00,1.853e+00,1.917e+00,1.981e+00,1.417e+00,1.469e+00,2.478e+00,1.200e+00
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.120e+00,1.341e+00,1.334e+00,1.322e+00,1.350e+00,1.271e+00,1.303e+00,8.460e-01
3.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.096e+00,1.795e+00,1.887e+00,1.933e+00,1.423e+00,1.395e+00,2.478e+00,1.235e+00
1.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.107e+00,1.276e+00,1.271e+00,1.263e+00,1.283e+00,1.212e+00,1.303e+00,8.706e-01
3.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,2.058e+00,1.749e+00,1.860e+00,1.895e+00,1.518e+00,1.335e+00,2.478e+00,1.265e+00
1.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.095e+00,1.224e+00,1.222e+00,1.215e+00,1.232e+00,1.163e+00,1.303e+00,8.925e-01
3.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,2.024e+00,1.711e+00,1.836e+00,1.863e+00,1.597e+00,1.285e+00,2.478e+00,1.292e+00
1.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.083e+00,1.180e+00,1.183e+00,1.177e+00,1.192e+00,1.122e+00,1.303e+00,9.121e-01
3.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,1.991e+00,1.680e+00,1.813e+00,1.835e+00,1.648e+00,1.244e+00,2.478e+00,1.315e+00
1.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.072e+00,1.144e+00,1.151e+00,1.146e+00,1.159e+00,1.088e+00,1.303e+00,9.297e-01
3.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,1.960e+00,1.653e+00,1.792e+00,1.810e+00,1.675e+00,1.209e+00,2.478e+00,1.336e+00
1.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,1.061e+00,1.113e+00,1.125e+00,1.120e+00,1.132e+00,1.059e+00,1.303e+00,9.457e-01
