pf,N,m,T,sigma,cut,F-CS,F-kolafa,F-thol,F-mecke,F-gottschalk,F-hess,RDF_CS,RDF_LJ
2.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,9.288e-01,1.470e+00,1.429e+00,1.427e+00,1.417e+00,1.485e+00,1.052e+00,1.159e+00
2.000e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,9.184e-01,1.382e+00,1.326e+00,1.325e+00,1.323e+00,1.391e+00,1.052e+00,1.152e+00
2.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,9.085e-01,1.315e+00,1.247e+00,1.246e+00,1.250e+00,1.317e+00,1.052e+00,1.145e+00
2.000e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,8.993e-01,1.263e+00,1.184e+00,1.183e+00,1.190e+00,1.257e+00,1.052e+00,1.139e+00
2.000e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,8.906e-01,1.222e+00,1.133e+00,1.132e+00,1.142e+00,1.208e+00,1.052e+00,1.134e+00
2.000e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,8.824e-01,1.188e+00,1.091e+00,1.090e+00,1.101e+00,1.167e+00,1.052e+00,1.128e+00
2.000e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,8.745e-01,1.161e+00,1.056e+00,1.055e+00,1.067e+00,1.133e+00,1.052e+00,1.123e+00
2.000e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,8.671e-01,1.138e+00,1.026e+00,1.025e+00,1.037e+00,1.103e+00,1.052e+00,1.118e+00
2.000e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,8.600e-01,1.120e+00,1.000e+00,9.990e-01,1.012e+00,1.077e+00,1.052e+00,1.113e+00
2.000e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,8.532e-01,1.104e+00,9.780e-01,9.767e-01,9.892e-01,1.055e+00,1.052e+00,1.108e+00
2.000e-02,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,8.468e-01,1.090e+00,9.584e-01,9.572e-01,9.694e-01,1.035e+00,1.052e+00,1.103e+00
2.000e-02,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,8.405e-01,1.078e+00,9.411e-01,9.399e-01,9.519e-01,1.017e+00,1.052e+00,1.099e+00
2.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,8.346e-01,1.068e+00,9.257e-01,9.245e-01,9.361e-01,1.002e+00,1.052e+00,1.095e+00
2.000e-02,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,8.288e-01,1.059e+00,9.118e-01,9.107e-01,9.218e-01,9.873e-01,1.052e+00,1.091e+00
2.000e-02,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,8.233e-01,1.052e+00,8.992e-01,8.982e-01,9.089e-01,9.743e-01,1.052e+00,1.087e+00
2.000e-02,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,8.179e-01,1.045e+00,8.878e-01,8.868e-01,8.971e-01,9.624e-01,1.052e+00,1.084e+00
