pf,N,m,T,sigma,cut,F-CS,F-kolafa,F-thol,F-mecke,F-gottschalk,F-hess,RDF_CS,RDF_LJ
2.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,9.085e-01,1.172e+00,1.247e+00,1.246e+00,1.241e+00,1.224e+00,1.052e+00,7.836e-01
2.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,8.346e-01,8.507e-01,9.257e-01,9.245e-01,9.264e-01,9.139e-01,1.052e+00,9.222e-01
2.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,7.850e-01,7.461e-01,8.289e-01,8.284e-01,8.301e-01,8.164e-01,1.052e+00,9.772e-01
4.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,9.557e-01,1.204e+00,1.274e+00,1.271e+00,1.269e+00,1.236e+00,1.108e+00,7.961e-01
4.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,8.751e-01,8.815e-01,9.497e-01,9.477e-01,9.517e-01,9.250e-01,1.108e+00,9.405e-01
4.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,8.213e-01,7.772e-01,8.541e-01,8.533e-01,8.566e-01,8.271e-01,1.108e+00,9.982e-01
6.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.007e+00,1.245e+00,1.298e+00,1.290e+00,1.297e+00,1.248e+00,1.168e+00,8.105e-01
6.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,9.185e-01,9.191e-01,9.756e-01,9.728e-01,9.791e-01,9.361e-01,1.168e+00,9.605e-01
6.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,8.600e-01,8.131e-01,8.818e-01,8.810e-01,8.854e-01,8.380e-01,1.168e+00,1.021e+00
8.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.061e+00,1.292e+00,1.316e+00,1.306e+00,1.324e+00,1.259e+00,1.233e+00,8.271e-01
8.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,9.650e-01,9.615e-01,1.004e+00,1.001e+00,1.009e+00,9.474e-01,1.233e+00,9.824e-01
8.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,9.015e-01,8.529e-01,9.125e-01,9.118e-01,9.168e-01,8.489e-01,1.233e+00,1.045e+00
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.120e+00,1.341e+00,1.334e+00,1.322e+00,1.350e+00,1.271e+00,1.303e+00,8.460e-01
1.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.015e+00,1.007e+00,1.036e+00,1.033e+00,1.042e+00,9.587e-01,1.303e+00,1.006e+00
1.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,9.458e-01,8.956e-01,9.468e-01,9.460e-01,9.510e-01,8.599e-01,1.303e+00,1.071e+00
1.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.184e+00,1.390e+00,1.356e+00,1.341e+00,1.374e+00,1.283e+00,1.379e+00,8.676e-01
1.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.069e+00,1.055e+00,1.073e+00,1.069e+00,1.078e+00,9.702e-01,1.379e+00,1.033e+00
1.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,9.934e-01,9.407e-01,9.855e-01,9.838e-01,9.886e-01,8.710e-01,1.379e+00,1.100e+00
1.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.254e+00,1.438e+00,1.385e+00,1.366e+00,1.395e+00,1.295e+00,1.462e+00,8.921e-01
1.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.127e+00,1.105e+00,1.116e+00,1.110e+00,1.118e+00,9.817e-01,1.462e+00,1.062e+00
1.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.044e+00,9.876e-01,1.029e+00,1.026e+00,1.030e+00,8.822e-01,1.462e+00,1.130e+00
