pf, N1, N2, m1, m2, sigma1, sigma2, thorne_SPT, thorne_PY_mix, thorne_BMCSL, enskog_1, enskog_2, SPT_EoS, PY_EoS, BMCSL_EoS, CS_EoS, SPT_RDF_ii, PY_RDF_ii, BMCSL_RDF_ii
0.000e+00, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.159e-01, 2.159e-01, 2.159e-01, 2.159e-01, 2.159e-01, nan, nan, nan, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00
1.020e-02, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.178e-01, 2.178e-01, 2.178e-01, 2.178e-01, 2.178e-01, 1.042e+00, 1.042e+00, 1.042e+00, 1.042e+00, 1.026e+00, 1.026e+00, 1.026e+00
2.041e-02, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.203e-01, 2.204e-01, 2.203e-01, 2.204e-01, 2.204e-01, 1.086e+00, 1.086e+00, 1.086e+00, 1.086e+00, 1.053e+00, 1.053e+00, 1.053e+00
3.061e-02, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.235e-01, 2.237e-01, 2.236e-01, 2.237e-01, 2.237e-01, 1.132e+00, 1.132e+00, 1.132e+00, 1.132e+00, 1.081e+00, 1.080e+00, 1.081e+00
4.082e-02, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.275e-01, 2.277e-01, 2.276e-01, 2.279e-01, 2.279e-01, 1.181e+00, 1.181e+00, 1.181e+00, 1.181e+00, 1.111e+00, 1.109e+00, 1.110e+00
5.102e-02, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.323e-01, 2.327e-01, 2.324e-01, 2.328e-01, 2.328e-01, 1.233e+00, 1.232e+00, 1.233e+00, 1.233e+00, 1.141e+00, 1.139e+00, 1.140e+00
6.122e-02, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.380e-01, 2.385e-01, 2.381e-01, 2.387e-01, 2.387e-01, 1.287e+00, 1.286e+00, 1.287e+00, 1.287e+00, 1.173e+00, 1.169e+00, 1.172e+00
7.143e-02, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.446e-01, 2.452e-01, 2.448e-01, 2.456e-01, 2.456e-01, 1.345e+00, 1.343e+00, 1.344e+00, 1.344e+00, 1.206e+00, 1.201e+00, 1.204e+00
8.163e-02, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.522e-01, 2.530e-01, 2.524e-01, 2.534e-01, 2.534e-01, 1.405e+00, 1.403e+00, 1.404e+00, 1.404e+00, 1.241e+00, 1.234e+00, 1.238e+00
9.184e-02, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.609e-01, 2.618e-01, 2.612e-01, 2.624e-01, 2.624e-01, 1.469e+00, 1.466e+00, 1.468e+00, 1.468e+00, 1.277e+00, 1.268e+00, 1.274e+00
1.020e-01, 3.000e+03, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 1.000e+00, 2.707e-01, 2.718e-01, 2.711e-01, 2.726e-01, 2.726e-01, 1.536e+00, 1.532e+00, 1.535e+00, 1.535e+00, 1.314e+00, 1.303e+00, 1.311e+00
