pf,N,m,T,sigma,cut,enskog_F-CS,enskog_F-kolafa,enskog_F-thol,enskog_F-mecke,enskog_F-gottschalk,enskog_F-hess,enskog_RDF_LJ
2.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.312e-01,1.928e-01,1.976e-01,1.978e-01,1.990e-01,2.017e-01,2.535e-01
5.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.387e-01,2.154e-01,2.208e-01,2.223e-01,2.216e-01,2.182e-01,2.748e-01
7.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.506e-01,2.446e-01,2.516e-01,2.548e-01,2.506e-01,2.456e-01,3.018e-01
1.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.679e-01,2.821e-01,2.896e-01,2.944e-01,2.869e-01,2.864e-01,3.352e-01
1.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.224e-01,3.864e-01,3.863e-01,3.920e-01,3.867e-01,4.206e-01,4.245e-01
2.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,4.131e-01,5.332e-01,5.207e-01,5.181e-01,5.373e-01,6.551e-01,5.504e-01
2.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,5.558e-01,7.268e-01,6.842e-01,6.886e-01,7.659e-01,1.043e+00,7.236e-01
3.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,7.749e-01,9.815e-01,9.182e-01,9.379e-01,1.117e+00,1.670e+00,9.591e-01
3.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.108e+00,1.332e+00,1.282e+00,1.323e+00,1.659e+00,2.677e+00,1.279e+00
4.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.617e+00,1.844e+00,1.866e+00,1.926e+00,2.491e+00,4.309e+00,1.714e+00
4.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.402e+00,2.606e+00,2.781e+00,2.856e+00,3.752e+00,7.009e+00,2.315e+00
5.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.635e+00,3.722e+00,4.173e+00,4.264e+00,5.636e+00,1.163e+01,3.155e+00
2.500e-02,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,2.472e-01,2.184e-01,2.277e-01,2.279e-01,2.274e-01,2.294e-01,2.691e-01
5.000e-02,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,2.549e-01,2.407e-01,2.519e-01,2.528e-01,2.491e-01,2.431e-01,2.914e-01
7.500e-02,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,2.672e-01,2.690e-01,2.833e-01,2.849e-01,2.769e-01,2.682e-01,3.197e-01
1.000e-01,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,2.850e-01,3.055e-01,3.216e-01,3.235e-01,3.118e-01,3.070e-01,3.547e-01
1.500e-01,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,3.413e-01,4.082e-01,4.172e-01,4.185e-01,4.092e-01,4.391e-01,4.480e-01
2.000e-01,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,4.345e-01,5.560e-01,5.434e-01,5.432e-01,5.585e-01,6.736e-01,5.794e-01
2.500e-01,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,5.808e-01,7.557e-01,7.125e-01,7.150e-01,7.884e-01,1.064e+00,7.597e-01
3.000e-01,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,8.045e-01,1.024e+00,9.562e-01,9.686e-01,1.145e+00,1.696e+00,1.004e+00
3.500e-01,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,1.143e+00,1.397e+00,1.332e+00,1.359e+00,1.695e+00,2.710e+00,1.334e+00
4.000e-01,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,1.658e+00,1.944e+00,1.925e+00,1.965e+00,2.537e+00,4.345e+00,1.783e+00
4.500e-01,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,2.445e+00,2.760e+00,2.839e+00,2.891e+00,3.808e+00,7.026e+00,2.398e+00
5.000e-01,3.000e+03,1.000e+00,1.442e+00,1.000e+00,4.500e+00,3.674e+00,3.969e+00,4.218e+00,4.282e+00,5.694e+00,1.156e+01,3.252e+00
2.500e-02,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,2.626e-01,2.418e-01,2.559e-01,2.563e-01,2.543e-01,2.554e-01,2.841e-01
5.000e-02,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,2.706e-01,2.636e-01,2.804e-01,2.813e-01,2.752e-01,2.665e-01,3.073e-01
7.500e-02,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,2.833e-01,2.913e-01,3.118e-01,3.130e-01,3.021e-01,2.896e-01,3.369e-01
1.000e-01,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,3.016e-01,3.271e-01,3.496e-01,3.508e-01,3.360e-01,3.270e-01,3.734e-01
1.500e-01,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,3.595e-01,4.294e-01,4.429e-01,4.441e-01,4.316e-01,4.578e-01,4.706e-01
2.000e-01,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,4.551e-01,5.795e-01,5.687e-01,5.686e-01,5.797e-01,6.934e-01,6.070e-01
2.500e-01,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,6.046e-01,7.864e-01,7.412e-01,7.427e-01,8.091e-01,1.088e+00,7.939e-01
3.000e-01,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,8.324e-01,1.069e+00,9.929e-01,1.001e+00,1.164e+00,1.727e+00,1.047e+00
3.500e-01,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,1.176e+00,1.466e+00,1.379e+00,1.397e+00,1.710e+00,2.748e+00,1.387e+00
4.000e-01,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,1.695e+00,2.050e+00,1.978e+00,2.006e+00,2.540e+00,4.387e+00,1.848e+00
4.500e-01,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,2.485e+00,2.924e+00,2.893e+00,2.931e+00,3.782e+00,7.053e+00,2.476e+00
5.000e-01,3.000e+03,1.000e+00,1.584e+00,1.000e+00,4.500e+00,3.708e+00,4.228e+00,4.260e+00,4.308e+00,5.608e+00,1.151e+01,3.342e+00
2.500e-02,3.000e+03,1.000e+00,1.726e+00,1.000e+00,4.500e+00,2.777e-01,2.630e-01,2.825e-01,2.829e-01,2.798e-01,2.800e-01,2.985e-01
5.000e-02,3.000e+03,1.000e+00,1.726e+00,1.000e+00,4.500e+00,2.858e-01,2.845e-01,3.070e-01,3.080e-01,3.000e-01,2.887e-01,3.227e-01
7.500e-02,3.000e+03,1.000e+00,1.726e+00,1.000e+00,4.500e+00,2.989e-01,3.117e-01,3.381e-01,3.393e-01,3.262e-01,3.100e-01,3.534e-01
1.000e-01,3.000e+03,1.000e+00,1.726e+00,1.000e+00,4.500e+00,3.178e-01,3.472e-01,3.753e-01,3.764e-01,3.594e-01,3.463e-01,3.913e-01
1.500e-01,3.000e+03,1.000e+00,1.726e+00,1.000e+00,4.500e+00,3.771e-01,4.498e-01,4.673e-01,4.686e-01,4.538e-01,4.764e-01,4.921e-01
