pf,N,m,T,sigma,cut,enskog_F-CS,enskog_RDF_CS,enskog_F-kolafa,enskog_F-thol,enskog_F-mecke,enskog_F-gottschalk,enskog_F-hess,enskog_RDF_LJ
2.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.312e-01,2.064e-01,1.665e-01,1.581e-01,1.582e-01,1.588e-01,1.624e-01,2.913e-01
5.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.387e-01,2.160e-01,1.839e-01,1.766e-01,1.778e-01,1.769e-01,1.836e-01,3.057e-01
7.500e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.506e-01,2.306e-01,2.058e-01,2.013e-01,2.039e-01,2.005e-01,2.095e-01,3.218e-01
1.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.679e-01,2.511e-01,2.339e-01,2.317e-01,2.355e-01,2.302e-01,2.400e-01,3.397e-01
1.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,3.224e-01,3.145e-01,3.110e-01,3.090e-01,3.136e-01,3.101e-01,3.159e-01,3.827e-01
2.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,4.131e-01,4.185e-01,4.179e-01,4.166e-01,4.144e-01,4.208e-01,4.124e-01,4.394e-01
2.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,5.558e-01,5.813e-01,5.553e-01,5.474e-01,5.508e-01,5.653e-01,5.309e-01,5.170e-01
3.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,7.749e-01,8.308e-01,7.305e-01,7.346e-01,7.503e-01,7.450e-01,6.727e-01,6.268e-01
3.500e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.108e+00,1.211e+00,9.655e-01,1.026e+00,1.058e+00,9.582e-01,8.391e-01,7.858e-01
4.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.617e+00,1.791e+00,1.303e+00,1.493e+00,1.541e+00,1.200e+00,1.031e+00,1.020e+00
