pf,N,m,T,sigma,cut,enskog_F-CS,enskog_F-kolafa,enskog_F-thol,enskog_F-mecke,enskog_F-gottschalk,enskog_F-hess,enskog_RDF_CS,enskog_RDF_LJ
1.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.679e-01,2.339e-01,2.317e-01,2.355e-01,2.302e-01,2.400e-01,2.400e-01,2.400e-01
3.000e-01,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,7.749e-01,7.305e-01,7.346e-01,7.503e-01,7.450e-01,6.727e-01,6.727e-01,6.727e-01
1.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,2.800e-01,2.502e-01,2.502e-01,2.520e-01,2.486e-01,2.567e-01,2.567e-01,2.567e-01
3.000e-01,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,7.959e-01,7.448e-01,7.560e-01,7.673e-01,6.778e-01,6.847e-01,6.847e-01,6.847e-01
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.919e-01,2.661e-01,2.667e-01,2.678e-01,2.653e-01,2.731e-01,2.731e-01,2.731e-01
3.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,8.161e-01,7.607e-01,7.770e-01,7.855e-01,7.024e-01,6.986e-01,6.986e-01,6.986e-01
1.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,3.035e-01,2.815e-01,2.820e-01,2.830e-01,2.808e-01,2.890e-01,2.890e-01,2.890e-01
3.000e-01,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,8.354e-01,7.774e-01,7.975e-01,8.040e-01,7.393e-01,7.138e-01,7.138e-01,7.138e-01
1.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,3.148e-01,2.963e-01,2.965e-01,2.974e-01,2.953e-01,3.044e-01,3.044e-01,3.044e-01
3.000e-01,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,8.541e-01,7.946e-01,8.174e-01,8.226e-01,7.749e-01,7.297e-01,7.297e-01,7.297e-01
1.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,3.259e-01,3.107e-01,3.103e-01,3.112e-01,3.092e-01,3.194e-01,3.194e-01,3.194e-01
3.000e-01,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,8.721e-01,8.119e-01,8.368e-01,8.409e-01,8.061e-01,7.461e-01,7.461e-01,7.461e-01
1.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,3.369e-01,3.247e-01,3.236e-01,3.244e-01,3.224e-01,3.339e-01,3.339e-01,3.339e-01
3.000e-01,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,8.896e-01,8.292e-01,8.555e-01,8.590e-01,8.333e-01,7.627e-01,7.627e-01,7.627e-01
1.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,3.476e-01,3.382e-01,3.363e-01,3.372e-01,3.351e-01,3.480e-01,3.480e-01,3.480e-01
3.000e-01,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,9.066e-01,8.464e-01,8.738e-01,8.767e-01,8.573e-01,7.794e-01,7.794e-01,7.794e-01
1.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,3.582e-01,3.513e-01,3.486e-01,3.494e-01,3.473e-01,3.618e-01,3.618e-01,3.618e-01
3.000e-01,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,9.231e-01,8.633e-01,8.915e-01,8.941e-01,8.790e-01,7.961e-01,7.961e-01,7.961e-01
1.000e-01,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,3.686e-01,3.641e-01,3.605e-01,3.613e-01,3.592e-01,3.751e-01,3.751e-01,3.751e-01
3.000e-01,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,9.391e-01,8.801e-01,9.087e-01,9.111e-01,8.990e-01,8.128e-01,8.128e-01,8.128e-01
1.000e-01,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,3.789e-01,3.766e-01,3.721e-01,3.728e-01,3.707e-01,3.881e-01,3.881e-01,3.881e-01
3.000e-01,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,9.548e-01,8.965e-01,9.255e-01,9.277e-01,9.177e-01,8.293e-01,8.293e-01,8.293e-01
1.000e-01,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,3.890e-01,3.889e-01,3.833e-01,3.840e-01,3.819e-01,4.008e-01,4.008e-01,4.008e-01
3.000e-01,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,9.701e-01,9.127e-01,9.419e-01,9.439e-01,9.356e-01,8.457e-01,8.457e-01,8.457e-01
