pf,N,m,T,sigma,cut,enskog_F-CS,enskog_F-kolafa,enskog_F-thol,enskog_F-mecke,enskog_F-gottschalk,enskog_F-hess,enskog_RDF_LJ
1.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.286e-01,1.814e-01,1.868e-01,1.872e-01,1.882e-01,1.963e-01,2.433e-01
1.000e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,2.398e-01,1.996e-01,2.077e-01,2.082e-01,2.087e-01,2.172e-01,2.540e-01
1.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.508e-01,2.167e-01,2.279e-01,2.283e-01,2.283e-01,2.374e-01,2.644e-01
1.000e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,2.616e-01,2.328e-01,2.472e-01,2.477e-01,2.472e-01,2.568e-01,2.744e-01
1.000e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,2.721e-01,2.479e-01,2.658e-01,2.663e-01,2.654e-01,2.754e-01,2.842e-01
1.000e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,2.825e-01,2.621e-01,2.837e-01,2.841e-01,2.830e-01,2.933e-01,2.938e-01
1.000e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,2.927e-01,2.756e-01,3.009e-01,3.013e-01,2.999e-01,3.105e-01,3.032e-01
1.000e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,3.028e-01,2.883e-01,3.175e-01,3.179e-01,3.162e-01,3.272e-01,3.124e-01
1.000e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,3.127e-01,3.004e-01,3.335e-01,3.339e-01,3.320e-01,3.432e-01,3.215e-01
1.000e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,3.225e-01,3.120e-01,3.490e-01,3.494e-01,3.473e-01,3.588e-01,3.305e-01
1.000e-02,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,3.321e-01,3.231e-01,3.640e-01,3.644e-01,3.622e-01,3.740e-01,3.393e-01
1.000e-02,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,3.417e-01,3.337e-01,3.785e-01,3.789e-01,3.766e-01,3.887e-01,3.479e-01
1.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.511e-01,3.439e-01,3.926e-01,3.931e-01,3.907e-01,4.030e-01,3.564e-01
1.000e-02,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,3.605e-01,3.537e-01,4.064e-01,4.068e-01,4.044e-01,4.169e-01,3.647e-01
1.000e-02,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,3.697e-01,3.632e-01,4.199e-01,4.203e-01,4.178e-01,4.306e-01,3.728e-01
1.000e-02,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,3.788e-01,3.724e-01,4.330e-01,4.334e-01,4.310e-01,4.439e-01,3.808e-01
1.000e-02,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,3.879e-01,3.813e-01,4.459e-01,4.463e-01,4.438e-01,4.570e-01,3.885e-01
1.000e-02,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,3.968e-01,3.899e-01,4.585e-01,4.588e-01,4.564e-01,4.698e-01,3.960e-01
1.000e-02,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,4.057e-01,3.983e-01,4.708e-01,4.712e-01,4.688e-01,4.823e-01,4.034e-01
1.000e-02,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,4.145e-01,4.065e-01,4.830e-01,4.833e-01,4.810e-01,4.946e-01,4.106e-01
1.000e-02,3.000e+03,1.000e+00,3.300e+00,1.000e+00,4.500e+00,4.232e-01,4.145e-01,4.949e-01,4.952e-01,4.929e-01,5.068e-01,4.176e-01
1.000e-02,3.000e+03,1.000e+00,3.400e+00,1.000e+00,4.500e+00,4.319e-01,4.223e-01,5.067e-01,5.069e-01,5.047e-01,5.187e-01,4.244e-01
1.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.405e-01,4.300e-01,5.182e-01,5.184e-01,5.163e-01,5.305e-01,4.311e-01
1.000e-02,3.000e+03,1.000e+00,3.600e+00,1.000e+00,4.500e+00,4.490e-01,4.374e-01,5.296e-01,5.298e-01,5.277e-01,5.420e-01,4.377e-01
1.000e-02,3.000e+03,1.000e+00,3.700e+00,1.000e+00,4.500e+00,4.575e-01,4.448e-01,5.409e-01,5.410e-01,5.389e-01,5.534e-01,4.442e-01
1.000e-02,3.000e+03,1.000e+00,3.800e+00,1.000e+00,4.500e+00,4.659e-01,4.519e-01,5.520e-01,5.520e-01,5.501e-01,5.647e-01,4.505e-01
1.000e-02,3.000e+03,1.000e+00,3.900e+00,1.000e+00,4.500e+00,4.742e-01,4.590e-01,5.629e-01,5.629e-01,5.610e-01,5.758e-01,4.568e-01
1.000e-02,3.000e+03,1.000e+00,4.000e+00,1.000e+00,4.500e+00,4.825e-01,4.659e-01,5.737e-01,5.737e-01,5.719e-01,5.868e-01,4.629e-01
3.632e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.341e-01,2.023e-01,2.072e-01,2.078e-01,2.085e-01,2.080e-01,2.625e-01
3.632e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,2.454e-01,2.206e-01,2.290e-01,2.294e-01,2.284e-01,2.267e-01,2.738e-01
3.632e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.565e-01,2.376e-01,2.496e-01,2.501e-01,2.475e-01,2.446e-01,2.848e-01
3.632e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,2.674e-01,2.535e-01,2.692e-01,2.698e-01,2.659e-01,2.618e-01,2.955e-01
3.632e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,2.781e-01,2.684e-01,2.880e-01,2.886e-01,2.837e-01,2.783e-01,3.060e-01
3.632e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,2.885e-01,2.824e-01,3.060e-01,3.066e-01,3.008e-01,2.942e-01,3.161e-01
3.632e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,2.988e-01,2.956e-01,3.232e-01,3.239e-01,3.173e-01,3.095e-01,3.261e-01
3.632e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,3.090e-01,3.080e-01,3.398e-01,3.405e-01,3.334e-01,3.243e-01,3.359e-01
3.632e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,3.190e-01,3.198e-01,3.557e-01,3.564e-01,3.489e-01,3.386e-01,3.455e-01
3.632e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,3.289e-01,3.311e-01,3.711e-01,3.719e-01,3.640e-01,3.524e-01,3.550e-01
3.632e-02,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,3.386e-01,3.419e-01,3.861e-01,3.868e-01,3.786e-01,3.659e-01,3.642e-01
3.632e-02,3.000e+03,1.000e+00,2.400e+00,1.000e+00,4.500e+00,3.482e-01,3.522e-01,4.005e-01,4.012e-01,3.929e-01,3.790e-01,3.734e-01
3.632e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.577e-01,3.621e-01,4.146e-01,4.153e-01,4.068e-01,3.918e-01,3.823e-01
3.632e-02,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,3.671e-01,3.717e-01,4.282e-01,4.289e-01,4.204e-01,4.042e-01,3.911e-01
3.632e-02,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,3.764e-01,3.809e-01,4.416e-01,4.423e-01,4.338e-01,4.164e-01,3.996e-01
3.632e-02,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,3.856e-01,3.899e-01,4.546e-01,4.553e-01,4.468e-01,4.283e-01,4.080e-01
3.632e-02,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,3.948e-01,3.986e-01,4.674e-01,4.680e-01,4.596e-01,4.400e-01,4.162e-01
3.632e-02,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,4.038e-01,4.070e-01,4.799e-01,4.805e-01,4.722e-01,4.514e-01,4.242e-01
3.632e-02,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,4.127e-01,4.152e-01,4.921e-01,4.927e-01,4.845e-01,4.627e-01,4.320e-01
