pf,N,m,T,sigma,cut,enskog_F-CS,enskog_F-kolafa,enskog_F-thol,enskog_F-mecke,enskog_F-gottschalk,enskog_F-hess,enskog_RDF_CS,enskog_RDF_LJ,omega,enskog_F-thol-fitted
2.000e-02,3.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,2.302e-01,1.511e-01,1.550e-01,1.551e-01,1.562e-01,1.497e-01,1.497e-01,1.497e-01,1.107e+00,9.866e-01
2.000e-02,3.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,2.415e-01,1.657e-01,1.720e-01,1.722e-01,1.724e-01,1.647e-01,1.647e-01,1.647e-01,1.123e+00,9.922e-01
2.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.525e-01,1.794e-01,1.883e-01,1.885e-01,1.879e-01,1.792e-01,1.792e-01,1.792e-01,1.111e+00,1.012e+00
2.000e-02,3.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,2.633e-01,1.923e-01,2.039e-01,2.041e-01,2.029e-01,1.930e-01,1.930e-01,1.930e-01,1.116e+00,1.014e+00
2.000e-02,3.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,2.738e-01,2.043e-01,2.188e-01,2.191e-01,2.174e-01,2.063e-01,2.063e-01,2.063e-01,1.126e+00,1.023e+00
2.000e-02,3.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,2.843e-01,2.156e-01,2.332e-01,2.335e-01,2.313e-01,2.191e-01,2.191e-01,2.191e-01,1.141e+00,1.023e+00
2.000e-02,3.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,2.945e-01,2.263e-01,2.470e-01,2.473e-01,2.447e-01,2.314e-01,2.314e-01,2.314e-01,1.146e+00,1.012e+00
2.000e-02,3.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,3.046e-01,2.364e-01,2.602e-01,2.606e-01,2.577e-01,2.433e-01,2.433e-01,2.433e-01,1.162e+00,1.014e+00
2.000e-02,3.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,3.145e-01,2.460e-01,2.730e-01,2.734e-01,2.702e-01,2.548e-01,2.548e-01,2.548e-01,1.183e+00,1.028e+00
2.000e-02,3.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,3.243e-01,2.551e-01,2.854e-01,2.857e-01,2.824e-01,2.660e-01,2.660e-01,2.660e-01,1.177e+00,1.017e+00
2.000e-02,3.000e+03,1.000e+00,2.300e+00,1.000e+00,4.500e+00,3.340e-01,2.639e-01,2.974e-01,2.977e-01,2.942e-01,2.768e-01,2.768e-01,2.768e-01,1.164e+00,1.041e+00
