pf,N,m,T,sigma,cut,enskog_F-CS,enskog_F-kolafa,enskog_F-thol,enskog_F-mecke,enskog_F-gottschalk,enskog_F-hess,enskog_RDF_CS,enskog_RDF_LJ,enskog_fit_F-CS,enskog_fit_F-kolafa,omega,enskog_fit_F-thol,enskog_fit_F-mecke,enskog_fit_F-gottschalk,enskog_fit_F-hess,enskog_fit_rdf-CS,enskog_fit_rdf-LJ
2.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.525e-01,1.994e-01,1.883e-01,1.885e-01,1.891e-01,1.915e-01,1.915e-01,1.915e-01,2.023e-01,1.710e-01,1.133e+00,1.609e-01,1.605e-01,1.626e-01,1.590e-01,1.900e-01,1.931e-01
2.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.530e-01,3.467e-01,3.203e-01,3.207e-01,3.200e-01,3.241e-01,3.241e-01,3.241e-01,2.814e-01,2.726e-01,1.233e+00,2.548e-01,2.546e-01,2.557e-01,2.447e-01,2.582e-01,2.507e-01
2.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.426e-01,4.644e-01,4.204e-01,4.207e-01,4.198e-01,4.265e-01,4.265e-01,4.265e-01,3.640e-01,3.679e-01,1.209e+00,3.428e-01,3.428e-01,3.435e-01,3.245e-01,3.289e-01,3.136e-01
4.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.577e-01,2.122e-01,2.026e-01,2.030e-01,2.032e-01,2.076e-01,2.076e-01,2.076e-01,2.056e-01,1.824e-01,1.133e+00,1.726e-01,1.721e-01,1.742e-01,1.723e-01,1.952e-01,2.012e-01
4.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.591e-01,3.568e-01,3.345e-01,3.351e-01,3.339e-01,3.422e-01,3.422e-01,3.422e-01,2.853e-01,2.809e-01,1.233e+00,2.658e-01,2.657e-01,2.664e-01,2.582e-01,2.652e-01,2.629e-01
4.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.492e-01,4.717e-01,4.340e-01,4.344e-01,4.329e-01,4.464e-01,4.464e-01,4.464e-01,3.683e-01,3.737e-01,1.209e+00,3.534e-01,3.535e-01,3.537e-01,3.395e-01,3.379e-01,3.297e-01
6.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.657e-01,2.269e-01,2.204e-01,2.213e-01,2.205e-01,2.266e-01,2.266e-01,2.266e-01,2.113e-01,1.950e-01,1.133e+00,1.876e-01,1.874e-01,1.889e-01,1.882e-01,2.033e-01,2.103e-01
6.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.685e-01,3.683e-01,3.514e-01,3.522e-01,3.505e-01,3.630e-01,3.630e-01,3.630e-01,2.919e-01,2.898e-01,1.233e+00,2.791e-01,2.791e-01,2.794e-01,2.740e-01,2.762e-01,2.773e-01
6.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.595e-01,4.810e-01,4.504e-01,4.507e-01,4.489e-01,4.693e-01,4.693e-01,4.693e-01,3.758e-01,3.805e-01,1.209e+00,3.665e-01,3.666e-01,3.664e-01,3.569e-01,3.518e-01,3.490e-01
8.000e-02,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.770e-01,2.446e-01,2.419e-01,2.430e-01,2.411e-01,2.484e-01,2.484e-01,2.484e-01,2.197e-01,2.102e-01,1.133e+00,2.060e-01,2.061e-01,2.067e-01,2.068e-01,2.146e-01,2.203e-01
8.000e-02,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.816e-01,3.826e-01,3.714e-01,3.721e-01,3.700e-01,3.866e-01,3.866e-01,3.866e-01,3.016e-01,3.007e-01,1.233e+00,2.949e-01,2.950e-01,2.949e-01,2.921e-01,2.915e-01,2.940e-01
8.000e-02,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.740e-01,4.935e-01,4.698e-01,4.701e-01,4.683e-01,4.952e-01,4.952e-01,4.952e-01,3.868e-01,3.897e-01,1.209e+00,3.822e-01,3.822e-01,3.819e-01,3.769e-01,3.714e-01,3.717e-01
1.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.919e-01,2.661e-01,2.667e-01,2.678e-01,2.653e-01,2.731e-01,2.731e-01,2.731e-01,2.310e-01,2.287e-01,1.133e+00,2.278e-01,2.278e-01,2.279e-01,2.280e-01,2.297e-01,2.315e-01
1.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.990e-01,4.008e-01,3.942e-01,3.949e-01,3.929e-01,4.132e-01,4.132e-01,4.132e-01,3.148e-01,3.146e-01,1.233e+00,3.133e-01,3.133e-01,3.133e-01,3.127e-01,3.120e-01,3.131e-01
1.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.930e-01,5.105e-01,4.927e-01,4.930e-01,4.913e-01,5.243e-01,5.243e-01,5.243e-01,4.017e-01,4.024e-01,1.209e+00,4.008e-01,4.007e-01,4.007e-01,3.996e-01,3.975e-01,3.981e-01
1.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.110e-01,2.919e-01,2.945e-01,2.957e-01,2.932e-01,3.008e-01,3.008e-01,3.008e-01,2.459e-01,2.512e-01,1.133e+00,2.525e-01,2.525e-01,2.526e-01,2.520e-01,2.491e-01,2.440e-01
1.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,4.211e-01,4.238e-01,4.203e-01,4.212e-01,4.194e-01,4.427e-01,4.427e-01,4.427e-01,3.320e-01,3.324e-01,1.233e+00,3.345e-01,3.345e-01,3.348e-01,3.358e-01,3.385e-01,3.350e-01
1.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,5.173e-01,5.328e-01,5.195e-01,5.199e-01,5.186e-01,5.567e-01,5.567e-01,5.567e-01,4.211e-01,4.195e-01,1.209e+00,4.227e-01,4.228e-01,4.230e-01,4.250e-01,4.312e-01,4.285e-01
1.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.348e-01,3.225e-01,3.255e-01,3.266e-01,3.248e-01,3.315e-01,3.315e-01,3.315e-01,2.649e-01,2.781e-01,1.133e+00,2.801e-01,2.800e-01,2.809e-01,2.789e-01,2.736e-01,2.580e-01
1.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,4.487e-01,4.522e-01,4.504e-01,4.513e-01,4.501e-01,4.755e-01,4.755e-01,4.755e-01,3.537e-01,3.547e-01,1.233e+00,3.589e-01,3.590e-01,3.598e-01,3.615e-01,3.717e-01,3.599e-01
1.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,5.474e-01,5.610e-01,5.510e-01,5.517e-01,5.507e-01,5.925e-01,5.925e-01,5.925e-01,4.456e-01,4.416e-01,1.209e+00,4.487e-01,4.490e-01,4.496e-01,4.531e-01,4.736e-01,4.634e-01
1.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.642e-01,3.579e-01,3.601e-01,3.609e-01,3.603e-01,3.655e-01,3.655e-01,3.655e-01,2.884e-01,3.098e-01,1.133e+00,3.112e-01,3.106e-01,3.129e-01,3.087e-01,3.040e-01,2.737e-01
