pf, N, m, T, sigma, cut, viscosity, error, enskog_F-CS, enskog_F-kolafa, enskog_F-thol, enskog_F-mecke, enskog_F-gottschalk, enskog_F-hess, enskog_RDF_CS, enskog_RDF_LJ,enskog_fit_F-CS,enskog_fit_F-kolafa,omega,enskog_fit_F-thol,enskog_fit_F-mecke,enskog_fit_F-gottschalk,enskog_fit_F-hess,enskog_fit_rdf-CS,enskog_fit_rdf-LJ
2.500e-02,6.000e+03,1.000e+00,1.300e+00,1.000e+00,4.500e+00,1.535e-01,1.073e-03,2.312e-01,1.665e-01,1.581e-01,1.582e-01,1.588e-01,1.624e-01,2.064e-01,1.902e-01,1.854e-01,1.477e-01,1.114e+00,1.419e-01,1.413e-01,1.420e-01,1.438e-01,1.730e-01,1.620e-01
2.500e-02,6.000e+03,1.000e+00,1.400e+00,1.000e+00,4.500e+00,1.600e-01,1.168e-03,2.425e-01,1.848e-01,1.752e-01,1.754e-01,1.760e-01,1.792e-01,2.142e-01,1.984e-01,1.952e-01,1.624e-01,1.128e+00,1.553e-01,1.550e-01,1.563e-01,1.568e-01,1.810e-01,1.701e-01
2.500e-02,6.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.689e-01,1.286e-03,2.535e-01,2.025e-01,1.915e-01,1.918e-01,1.923e-01,1.953e-01,2.217e-01,2.065e-01,2.098e-01,1.808e-01,1.111e+00,1.725e-01,1.723e-01,1.734e-01,1.734e-01,1.936e-01,1.825e-01
2.500e-02,6.000e+03,1.000e+00,1.600e+00,1.000e+00,4.500e+00,1.848e-01,1.491e-03,2.643e-01,2.194e-01,2.072e-01,2.074e-01,2.079e-01,2.108e-01,2.290e-01,2.143e-01,2.202e-01,1.948e-01,1.117e+00,1.855e-01,1.854e-01,1.862e-01,1.857e-01,2.020e-01,1.910e-01
2.500e-02,6.000e+03,1.000e+00,1.700e+00,1.000e+00,4.500e+00,1.921e-01,1.617e-03,2.749e-01,2.358e-01,2.222e-01,2.225e-01,2.228e-01,2.257e-01,2.361e-01,2.219e-01,2.295e-01,2.075e-01,1.125e+00,1.975e-01,1.974e-01,1.981e-01,1.969e-01,2.096e-01,1.987e-01
2.500e-02,6.000e+03,1.000e+00,1.800e+00,1.000e+00,4.500e+00,2.011e-01,1.768e-03,2.854e-01,2.515e-01,2.365e-01,2.369e-01,2.370e-01,2.401e-01,2.429e-01,2.293e-01,2.371e-01,2.182e-01,1.140e+00,2.075e-01,2.074e-01,2.080e-01,2.062e-01,2.154e-01,2.048e-01
2.500e-02,6.000e+03,1.000e+00,1.900e+00,1.000e+00,4.500e+00,2.174e-01,2.031e-03,2.956e-01,2.668e-01,2.503e-01,2.507e-01,2.507e-01,2.539e-01,2.496e-01,2.366e-01,2.466e-01,2.302e-01,1.144e+00,2.187e-01,2.186e-01,2.191e-01,2.166e-01,2.228e-01,2.123e-01
2.500e-02,6.000e+03,1.000e+00,2.000e+00,1.000e+00,4.500e+00,2.205e-01,2.056e-03,3.057e-01,2.815e-01,2.636e-01,2.640e-01,2.638e-01,2.673e-01,2.560e-01,2.437e-01,2.533e-01,2.395e-01,1.159e+00,2.275e-01,2.274e-01,2.278e-01,2.247e-01,2.280e-01,2.178e-01
2.500e-02,6.000e+03,1.000e+00,2.100e+00,1.000e+00,4.500e+00,2.238e-01,2.181e-03,3.157e-01,2.958e-01,2.764e-01,2.768e-01,2.764e-01,2.803e-01,2.624e-01,2.508e-01,2.578e-01,2.463e-01,1.181e+00,2.339e-01,2.339e-01,2.342e-01,2.304e-01,2.313e-01,2.215e-01
2.500e-02,6.000e+03,1.000e+00,2.200e+00,1.000e+00,4.500e+00,2.375e-01,2.387e-03,3.255e-01,3.096e-01,2.887e-01,2.891e-01,2.887e-01,2.928e-01,2.685e-01,2.577e-01,2.690e-01,2.594e-01,1.173e+00,2.462e-01,2.461e-01,2.464e-01,2.419e-01,2.402e-01,2.306e-01
