pf, N, m, T, sigma, cut, viscosity, error, enskog_RDF_PY, enskog_RDF_CS, enskog_RDF_LJ
1.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 8.882e-03, 0.000e+00, 2.208e-01, 2.202e-01, 2.216e-01
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 1.289e-02, 0.000e+00, 3.659e-01, 3.671e-01, 3.619e-01
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 5.272e-02, 0.000e+00, 7.068e-01, 7.286e-01, 6.323e-01
4.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 7.090e-02, 0.000e+00, 1.446e+00, 1.570e+00, 1.147e+00
5.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 8.840e-02, 0.000e+00, 3.054e+00, 3.595e+00, 2.174e+00
1.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 2.336e-02, 0.000e+00, 2.704e-01, 2.697e-01, 2.714e-01
2.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 4.350e-02, 0.000e+00, 4.482e-01, 4.496e-01, 4.433e-01
3.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 6.437e-02, 0.000e+00, 8.656e-01, 8.924e-01, 7.744e-01
4.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 8.618e-02, 0.000e+00, 1.771e+00, 1.923e+00, 1.405e+00
5.000e-01, 1.000e+03, 1.000e+00, 1.500e+00, 1.000e+00, 4.500e+00, 1.066e-01, 0.000e+00, 3.740e+00, 4.403e+00, 2.662e+00
1.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 2.898e-02, 0.000e+00, 3.123e-01, 3.115e-01, 3.134e-01
2.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 5.135e-02, 0.000e+00, 5.175e-01, 5.191e-01, 5.119e-01
3.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 7.530e-02, 0.000e+00, 9.995e-01, 1.030e+00, 8.942e-01
4.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 9.949e-02, 0.000e+00, 2.045e+00, 2.221e+00, 1.623e+00
5.000e-01, 1.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 1.236e-01, 0.000e+00, 4.319e+00, 5.084e+00, 3.074e+00
1.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 3.393e-02, 0.000e+00, 3.491e-01, 3.482e-01, 3.504e-01
2.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 5.903e-02, 0.000e+00, 5.786e-01, 5.804e-01, 5.723e-01
3.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 8.476e-02, 0.000e+00, 1.117e+00, 1.152e+00, 9.997e-01
4.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 1.119e-01, 0.000e+00, 2.286e+00, 2.483e+00, 1.814e+00
5.000e-01, 1.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 1.369e-01, 0.000e+00, 4.828e+00, 5.684e+00, 3.437e+00
1.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 3.905e-02, 0.000e+00, 3.824e-01, 3.815e-01, 3.839e-01
2.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 6.516e-02, 0.000e+00, 6.338e-01, 6.358e-01, 6.269e-01
3.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 9.298e-02, 0.000e+00, 1.224e+00, 1.262e+00, 1.095e+00
4.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.214e-01, 0.000e+00, 2.505e+00, 2.720e+00, 1.987e+00
5.000e-01, 1.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.503e-01, 0.000e+00, 5.289e+00, 6.227e+00, 3.765e+00
1.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 4.283e-02, 0.000e+00, 4.131e-01, 4.120e-01, 4.146e-01
2.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 7.175e-02, 0.000e+00, 6.846e-01, 6.867e-01, 6.771e-01
3.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.014e-01, 0.000e+00, 1.322e+00, 1.363e+00, 1.183e+00
4.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.323e-01, 0.000e+00, 2.705e+00, 2.938e+00, 2.147e+00
5.000e-01, 1.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.616e-01, 0.000e+00, 5.713e+00, 6.726e+00, 4.067e+00
1.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 4.680e-02, 0.000e+00, 4.416e-01, 4.405e-01, 4.433e-01
2.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 7.899e-02, 0.000e+00, 7.318e-01, 7.341e-01, 7.239e-01
3.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.097e-01, 0.000e+00, 1.414e+00, 1.457e+00, 1.265e+00
4.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.422e-01, 0.000e+00, 2.892e+00, 3.141e+00, 2.295e+00
5.000e-01, 1.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.730e-01, 0.000e+00, 6.107e+00, 7.190e+00, 4.348e+00
