# Time-averaged data for fix PRESSURE
# TimeStep c_P c_T v_L
1000 0.291176 1.49231 9.55614
2000 0.293964 1.49182 9.55614
3000 0.277976 1.49398 9.55614
4000 0.295329 1.49209 9.55614
5000 0.307632 1.49024 9.55614
6000 0.313307 1.48966 9.55614
7000 0.296683 1.49186 9.55614
8000 0.299369 1.49224 9.55614
9000 0.287915 1.49349 9.55614
10000 0.288762 1.49345 9.55614
11000 0.282497 1.494 9.55614
12000 0.280202 1.49453 9.55614
13000 0.296031 1.49275 9.55614
14000 0.284243 1.49334 9.55614
15000 0.289668 1.49344 9.55614
16000 0.285909 1.49399 9.55614
17000 0.299897 1.49223 9.55614
18000 0.289387 1.49394 9.55614
19000 0.282415 1.49455 9.55614
20000 0.292624 1.49362 9.55614
